county,income,education
10001,60322269.01408451,0.23121618735763097
10003,48491871.78082192,0.3542923421444567
10005,45536693.93939394,0.23884933801501143
1001,43972978.125,0.24592771348653542
1003,56787420.43010753,0.2954711102853958
1005,17958278.260869566,0.12867787023440475
1007,25308346.666666668,0.12
1009,33249208.57142857,0.13049756789623024
1011,20890557.14285714,0.10255011591435974
1013,18864042.10526316,0.1608000573517815
1015,28452390.90909091,0.17652966527249844
1017,21141421.21212121,0.12484279366144042
1019,30665478.94736842,0.1396169894083663
1021,31310623.333333332,0.14854548511854718
1023,17917140.0,0.11960203217612193
1025,19868275.0,0.12137234167547879
1027,20923453.846153848,0.11062883760321829
1029,25610363.636363637,0.11528072544858191
1031,37321060.60606061,0.2366672444675565
1033,26617050.0,0.18470904862689766
1035,16207583.333333334,0.08662579473206176
1037,16434727.272727273,0.09940558998355888
1039,20770386.842105262,0.14921485731541598
1041,27009360.0,0.14647680871112972
1043,26428595.16129032,0.14969017985547645
1045,24552053.48837209,0.16068698858016364
1047,17801787.17948718,0.13784303572749465
1049,23058867.9245283,0.11365935919055649
1051,42495156.52173913,0.22238398544131027
1053,20803153.333333332,0.11625650182439251
1055,25190844.578313254,0.16491854496764116
1057,18430150.0,0.14145349822124342
1059,21438830.769230768,0.12390099388379205
1061,21744383.333333332,0.1166179207657538
1063,10438080.0,0.0997485331098072
1065,21759353.846153848,0.1402874181249389
1067,23411331.25,0.16144341706897963
1069,33755397.14285714,0.21017902307377107
1071,22761906.818181816,0.12578463859478972
1073,34785445.36679537,0.3144024730047501
1075,17728968.75,0.13062612522504502
1077,30827280.82191781,0.2167922974599354
1079,23194432.258064516,0.10308618260980919
1081,47718918.18181818,0.34412146638697433
1083,51359769.76744186,0.23260687342833195
1085,15792266.666666666,0.12281926029309141
1087,17600335.0,0.20041888190752377
1089,59642127.22513089,0.40671926913805406
1091,15671562.5,0.14789092769939324
1093,22210678.57142857,0.12466338564397808
1095,30006847.692307692,0.1656724426348515
1097,34600267.29323308,0.22512395732157603
1099,16084295.238095239,0.12395084939233197
11001,68410762.63982102,0.5536018591913122
1101,29111053.535353534,0.3145956607495069
1103,37231865.333333336,0.21429180939378056
1105,10022450.0,0.14492509678505303
1107,18466600.0,0.11119000284010225
1109,27716882.608695652,0.23988174125802833
1111,23061922.222222224,0.1537919097378037
1113,32158758.333333332,0.17014104957477702
1115,52790112.820512824,0.16103839877443635
1117,61415990.09009009,0.4142299143270248
1119,11679800.0,0.1812031891761295
1121,29527014.814814813,0.13090922079545658
1123,23485925.0,0.17315807679003806
1125,39444675.652173914,0.2936949372741667
