borough,date,total_outflow,total_inflow,visits_inside_home_borough,visits_from_outside_home_borough,visits_to_outside_boroughs
Bronx,2020-08-24,226406.0,195733.0,144772,50961,81634
Queens,2020-08-24,460422.0,396476.0,297127,99349,163295
Brooklyn,2020-08-24,420777.0,413149.0,312763,100386,108014
Staten Island,2020-08-31,188186.0,147598.0,131565,16033,56621
Manhattan,2020-08-31,166599.0,323577.0,114147,209430,52452
Bronx,2020-08-31,245526.0,214031.0,159636,54395,85890
Queens,2020-08-31,490870.0,421289.0,318436,102853,172434
Brooklyn,2020-08-31,455189.0,444045.0,338347,105698,116842
Staten Island,2020-09-07,191188.0,154052.0,138162,15890,53026
Manhattan,2020-09-07,168893.0,329822.0,117928,211894,50965
Bronx,2020-09-07,241518.0,211108.0,157725,53383,83793
Queens,2020-09-07,495624.0,427940.0,325083,102857,170541
Brooklyn,2020-09-07,453830.0,450079.0,340916,109163,112914
Staten Island,2020-09-14,182047.0,147744.0,132492,15252,49555
Manhattan,2020-09-14,159016.0,327387.0,113533,213854,45483
Bronx,2020-09-14,226677.0,198897.0,148004,50893,78673
Queens,2020-09-14,467089.0,406674.0,307925,98749,159164
Brooklyn,2020-09-14,426101.0,425703.0,320335,105368,105766
Staten Island,2020-09-21,184390.0,149821.0,133293,16528,51097
Manhattan,2020-09-21,163791.0,341935.0,117607,224328,46184
Bronx,2020-09-21,234023.0,204545.0,152491,52054,81532
Queens,2020-09-21,480615.0,420369.0,317074,103295,163541
Brooklyn,2020-09-21,440901.0,438186.0,330522,107664,110379
Staten Island,2020-09-28,193883.0,157912.0,141663,16249,52220
Manhattan,2020-09-28,179391.0,350511.0,133342,217169,46049
Bronx,2020-09-28,232798.0,202318.0,152162,50156,80636
Queens,2020-09-28,474599.0,412701.0,312466,100235,162133
Brooklyn,2020-09-28,443471.0,433915.0,332914,101001,110557
Staten Island,2020-10-05,198445.0,162735.0,145643,17092,52802
Manhattan,2020-10-05,177117.0,354649.0,128330,226319,48787
Bronx,2020-10-05,229603.0,200947.0,149409,51538,80194
Queens,2020-10-05,480615.0,415494.0,313538,101956,167077
Brooklyn,2020-10-05,437265.0,419695.0,320168,99527,117097
Staten Island,2020-10-12,191186.0,157453.0,141046,16407,50140
Manhattan,2020-10-12,169788.0,336417.0,122607,213810,47181
Bronx,2020-10-12,222020.0,195685.0,144836,50849,77184
Queens,2020-10-12,465263.0,399334.0,302562,96772,162701
Brooklyn,2020-10-12,422116.0,408020.0,311060,96960,111056
Staten Island,2020-10-19,195023.0,160558.0,144473,16085,50550
Manhattan,2020-10-19,177194.0,355098.0,129122,225976,48072
Bronx,2020-10-19,232294.0,203066.0,150849,52217,81445
Queens,2020-10-19,480701.0,416252.0,314638,101614,166063
Brooklyn,2020-10-19,436585.0,424186.0,322623,101563,113962
Staten Island,2020-10-26,182378.0,153332.0,138395,14937,43983
Manhattan,2020-10-26,161949.0,327982.0,118248,209734,43701
Bronx,2020-10-26,219323.0,192147.0,144138,48009,75185
Queens,2020-10-26,462015.0,403918.0,306130,97788,155885
Brooklyn,2020-10-26,419881.0,410602.0,314043,96559,105838
Staten Island,2020-11-02,192702.0,158957.0,143791,15166,48911
Manhattan,2020-11-02,180593.0,336612.0,130325,206287,50268
Bronx,2020-11-02,224089.0,197238.0,147479,49759,76610
Queens,2020-11-02,475802.0,410818.0,313092,97726,162710
Brooklyn,2020-11-02,431126.0,430950.0,325544,105406,105582
Staten Island,2020-11-09,182272.0,150445.0,135750,14695,46522
Manhattan,2020-11-09,160552.0,318718.0,117624,201094,42928
Bronx,2020-11-09,205737.0,178103.0,132358,45745,73379
Queens,2020-11-09,452653.0,389956.0,293900,96056,158753
Brooklyn,2020-11-09,406487.0,395001.0,302058,92943,104429
Staten Island,2020-11-16,175963.0,144891.0,131112,13779,44851
Manhattan,2020-11-16,157088.0,306780.0,114961,191819,42127
Bronx,2020-11-16,201130.0,177600.0,132017,45583,69113
Queens,2020-11-16,441930.0,378867.0,286132,92735,155798
Brooklyn,2020-11-16,400610.0,391170.0,299891,91279,100719
Staten Island,2020-11-30,120730.0,99135.0,89856,9279,30874
Manhattan,2020-11-30,109753.0,212682.0,76285,136397,33468
Bronx,2020-11-30,142484.0,141219.0,94619,46600,47865
Queens,2020-11-30,312357.0,264638.0,198992,65646,113365
Brooklyn,2020-11-30,286891.0,277538.0,212513,65025,74378
Staten Island,2020-12-21,159999.0,133849.0,120142,13707,39857
Manhattan,2020-12-21,119628.0,243300.0,80264,163036,39364
Bronx,2020-12-21,183006.0,160017.0,119945,40072,63061
Queens,2020-12-21,409518.0,353837.0,265124,88713,144394
Brooklyn,2020-12-21,366187.0,359809.0,277025,82784,89162
Staten Island,2020-12-28,158512.0,127529.0,115573,11956,42939
Manhattan,2020-12-28,118408.0,242089.0,81160,160929,37248
Bronx,2020-12-28,176475.0,154999.0,115284,39715,61191
Queens,2020-12-28,395771.0,341013.0,255738,85275,140033
Brooklyn,2020-12-28,355421.0,343791.0,266475,77316,88946
Staten Island,2021-01-04,165580.0,133722.0,121262,12460,44318
Manhattan,2021-01-04,126628.0,262137.0,90653,171484,35975
Bronx,2021-01-04,187545.0,164644.0,122082,42562,65463
Queens,2021-01-04,412456.0,360458.0,267858,92600,144598
Brooklyn,2021-01-04,375457.0,368894.0,283202,85692,92255
Staten Island,2021-01-11,160199.0,129389.0,117062,12327,43137
Manhattan,2021-01-11,122747.0,256854.0,88119,168735,34628
Bronx,2021-01-11,175435.0,154850.0,113666,41184,61769
Queens,2021-01-11,396475.0,343974.0,257416,86558,139059
Brooklyn,2021-01-11,357318.0,349416.0,267147,82269,90171
Staten Island,2021-01-18,158718.0,127245.0,114867,12378,43851
Manhattan,2021-01-18,117925.0,247859.0,84609,163250,33316
Bronx,2021-01-18,169336.0,148247.0,108735,39512,60601
Queens,2021-01-18,389073.0,335675.0,250867,84808,138206
Brooklyn,2021-01-18,346865.0,338360.0,258357,80003,88508
Staten Island,2021-01-25,153649.0,123554.0,111971,11583,41678
Manhattan,2021-01-25,110897.0,238723.0,80341,158382,30556
Bronx,2021-01-25,163571.0,144041.0,105631,38410,57940
Queens,2021-01-25,373084.0,322198.0,241569,80629,131515
Brooklyn,2021-01-25,332638.0,326782.0,249187,77595,83451
Staten Island,2021-02-01,129142.0,103505.0,93906,9599,35236
Manhattan,2021-02-01,106816.0,209549.0,79967,129582,26849
Bronx,2021-02-01,141357.0,126766.0,94150,32616,47207
Queens,2021-02-01,316220.0,279082.0,209788,69294,106432
Brooklyn,2021-02-01,288826.0,286360.0,219747,66613,69079
