borough,date,total_outflow,total_inflow,visits_inside_home_borough,visits_from_outside_home_borough,visits_to_outside_boroughs
Manhattan,2019-04-29,653402.0,1251017.0,534715,716302,118687
Bronx,2019-04-29,581221.0,480138.0,367425,112713,213796
Queens,2019-04-29,979566.0,878243.0,639399,238844,340167
Brooklyn,2019-04-29,998623.0,908738.0,705488,203250,293135
Staten Island,2019-05-06,294262.0,234213.0,209899,24314,84363
Manhattan,2019-05-06,648670.0,1252079.0,524979,727100,123691
Bronx,2019-05-06,582693.0,481859.0,366385,115474,216308
Queens,2019-05-06,991501.0,887280.0,645873,241407,345628
Brooklyn,2019-05-06,1011327.0,917705.0,713922,203783,297405
Staten Island,2019-05-13,299256.0,235405.0,212574,22831,86682
Manhattan,2019-05-13,666161.0,1289703.0,540347,749356,125814
Bronx,2019-05-13,581881.0,482767.0,365111,117656,216770
Queens,2019-05-13,1006334.0,896306.0,656528,239778,349806
Brooklyn,2019-05-13,1026989.0,924627.0,724897,199730,302092
Staten Island,2019-05-20,290484.0,230486.0,207773,22713,82711
Manhattan,2019-05-20,614949.0,1172031.0,483854,688177,131095
Bronx,2019-05-20,548177.0,446888.0,345421,101467,202756
Queens,2019-05-20,962827.0,864173.0,626512,237661,336315
Brooklyn,2019-05-20,978846.0,883411.0,692103,191308,286743
Staten Island,2019-05-27,295402.0,237790.0,213790,24000,81612
Manhattan,2019-05-27,638880.0,1169195.0,510853,658342,128027
Bronx,2019-05-27,550357.0,465729.0,353722,112007,196635
Queens,2019-05-27,970466.0,872966.0,642575,230391,327891
Brooklyn,2019-05-27,989500.0,904149.0,715025,189124,274475
Staten Island,2019-06-03,309110.0,244203.0,219166,25037,89944
Manhattan,2019-06-03,649706.0,1251286.0,521742,729544,127964
Bronx,2019-06-03,573168.0,464272.0,358250,106022,214918
Queens,2019-06-03,1019310.0,910035.0,663214,246821,356096
Brooklyn,2019-06-03,1026805.0,934483.0,726459,208024,300346
Staten Island,2019-06-10,300452.0,237802.0,214588,23214,85864
Manhattan,2019-06-10,611521.0,1172613.0,488137,684476,123384
Bronx,2019-06-10,544462.0,448982.0,343452,105530,201010
Queens,2019-06-10,970600.0,868994.0,634540,234454,336060
Brooklyn,2019-06-10,978474.0,897118.0,698272,198846,280202
Staten Island,2019-06-17,304821.0,242144.0,218226,23918,86595
Manhattan,2019-06-17,621433.0,1193855.0,495497,698358,125936
Bronx,2019-06-17,537515.0,455055.0,341868,113187,195647
Queens,2019-06-17,972782.0,879240.0,640563,238677,332219
Brooklyn,2019-06-17,979435.0,887987.0,695154,192833,284281
Staten Island,2019-06-24,303649.0,237957.0,213589,24368,90060
Manhattan,2019-06-24,615077.0,1227765.0,494520,733245,120557
Bronx,2019-06-24,558188.0,455607.0,349967,105640,208221
Queens,2019-06-24,999800.0,905378.0,650557,254821,349243
Brooklyn,2019-06-24,999128.0,902959.0,702460,200499,296668
Staten Island,2019-07-01,267562.0,205432.0,183021,22411,84541
Manhattan,2019-07-01,528025.0,973748.0,397595,576153,130430
Bronx,2019-07-01,492164.0,393151.0,302831,90320,189333
Queens,2019-07-01,887628.0,803077.0,565459,237618,322169
Brooklyn,2019-07-01,871856.0,792393.0,609781,182612,262075
Staten Island,2019-07-08,276413.0,209727.0,187615,22112,88798
Manhattan,2019-07-08,557315.0,1119563.0,439582,679981,117733
Bronx,2019-07-08,509469.0,415155.0,313282,101873,196187
Queens,2019-07-08,920542.0,824329.0,585946,238383,334596
Brooklyn,2019-07-08,909622.0,820629.0,631277,189352,278345
Staten Island,2019-07-15,274174.0,209955.0,187210,22745,86964
Manhattan,2019-07-15,550036.0,1095354.0,435196,660158,114840
Bronx,2019-07-15,501285.0,413336.0,307706,105630,193579
Queens,2019-07-15,899242.0,804530.0,571553,232977,327689
Brooklyn,2019-07-15,886108.0,793792.0,613073,180719,273035
Staten Island,2019-07-22,279096.0,211832.0,189349,22483,89747
Manhattan,2019-07-22,548331.0,1099081.0,432351,666730,115980
Bronx,2019-07-22,495054.0,398262.0,304507,93755,190547
Queens,2019-07-22,894936.0,814815.0,567726,247089,327210
Brooklyn,2019-07-22,882446.0,793528.0,609831,183697,272615
Staten Island,2019-07-29,277691.0,211177.0,188916,22261,88775
Manhattan,2019-07-29,526655.0,1070703.0,415409,655294,111246
Bronx,2019-07-29,489952.0,408862.0,305813,103049,184139
Queens,2019-07-29,889334.0,797436.0,567758,229678,321576
Brooklyn,2019-07-29,870133.0,785717.0,605124,180593,265009
Staten Island,2019-08-05,279457.0,210928.0,188278,22650,91179
Manhattan,2019-08-05,516599.0,1065064.0,402948,662116,113651
Bronx,2019-08-05,486754.0,392468.0,298784,93684,187970
Queens,2019-08-05,892555.0,821095.0,570255,250840,322300
Brooklyn,2019-08-05,863108.0,773920.0,593328,180592,269780
Staten Island,2019-08-12,276489.0,207101.0,185792,21309,90697
Manhattan,2019-08-12,520693.0,1044780.0,402397,642383,118296
Bronx,2019-08-12,476919.0,407167.0,294332,112835,182587
Queens,2019-08-12,896901.0,808529.0,571960,236569,324941
Brooklyn,2019-08-12,862949.0,780041.0,593893,186148,269056
Staten Island,2019-08-19,274433.0,206008.0,182900,23108,91533
Manhattan,2019-08-19,528327.0,1044837.0,409846,634991,118481
Bronx,2019-08-19,481553.0,395032.0,296945,98087,184608
Queens,2019-08-19,901456.0,832144.0,574217,257927,327239
Brooklyn,2019-08-19,861035.0,781256.0,592124,189132,268911
Staten Island,2019-08-26,288803.0,218698.0,194644,24054,94159
Manhattan,2019-08-26,611879.0,1121351.0,465682,655669,146197
