cbg,exp_distance,exp_area,exp_poi_diversity,exp_poi_count,corr,p
360050374002,37.28322665779621,3.454441445400846,5.134228553173472,1.0864018105451692,0.5149662819786884,0.0
360050396003,26.05449639463575,1.2940880948376048,6.644325976278651,1.080525137727193,0.08560518886024229,7.377021319205217e-17
360050307012,39.0839454648642,1.947954370331047,9.2813918446893,1.272957359616072,0.26825081892457336,1.2441610733125454e-155
360050386004,27.667674332706866,1.3336686569568315,9.162292780171722,4.484871909383401,0.09683461109430072,3.734101281733886e-21
360050407021,39.59101646055364,2.580362335800231,1.2350427739774261,2.163947456741262,0.49347487589541095,0.0
360050273004,26.11059179088278,4.4124494327042925,3.000135727545171,1.6014438408801652,0.2246719341023267,1.4885865753239245e-108
360050442001,26.440914463864004,4.753584262479308,2.1015028243945153,1.6955893075565598,0.20311708538844211,1.1661279362572366e-88
360050403021,33.36183593046779,2.280206790179278,1.696716606761015,4.292110621861269,0.20725023322043687,2.6369886476550745e-92
360050062003,36.72903508454375,3.3451583373141602,4.107149972122784,4.439964362358722,0.2565371635824272,4.727781545775013e-142
360050430001,35.96314787424771,3.614153431557996,1.0401338844668828,3.417295173083569,0.2618726620006189,3.760020151987252e-148
360050426001,37.04628691871039,2.3733041908917016,4.769357883038744,5.253169021834907,0.12872333431826236,3.0370899189112885e-36
360050389002,36.59380789910022,3.211378307816016,1.1942129581786958,7.427680672191748,0.4598658022690469,0.0
360050462012,26.94340168426976,1.2245129652167748,2.294101996124269,3.886986571278527,0.15256533970146904,2.2608344929238706e-50
360050406001,39.650829067309274,1.5002232127853006,5.256775257437882,4.171362956133823,0.09623340253843349,6.538696227723507e-21
360050424001,27.657500049139784,1.6728283136583304,3.155424164328288,4.60652365582949,0.06693949362287083,7.148925412427238e-11
360050054002,37.45492074380755,3.767526761988819,3.7819684677955934,3.9055496023294722,0.18273195953890917,7.848021384890311e-72
360050385003,29.8993849453471,4.546714884195994,2.181168188558142,1.2654343225614255,0.16252121247601495,5.242908251271072e-57
360050391005,34.31102208718805,5.523605043730342,1.9818844279856194,5.752652258247039,0.14886409192060382,5.1248363130347275e-48
360050423002,32.49521932555555,1.3328837085572474,1.5077153011862425,3.730540417139937,0.41661259635265585,0.0
360050338002,15.827662503337166,1.5642586684267528,1.7388984729648485,1.082343985055644,0.204121140754356,1.5432282666578469e-89
360050386005,39.02513668939889,2.3386132820616865,1.6984101681261166,3.051276815226913,0.5594447074812943,0.0
360050411003,38.32514690238625,3.981811471285255,2.3387093338615728,5.114522709030581,0.20389457313056092,2.4379997516587254e-89
360050255003,18.755469420743765,3.602758636486456,2.922747622205236,1.5077750673837613,0.09990679972179121,2.0196645422598148e-22
360050253002,29.524397273581478,4.748485251779471,4.885184304355768,1.953284354292805,0.4540520872103097,0.0
360050239002,35.695228938496456,1.270153741921671,9.446366361332018,3.6593890581808353,0.4583700913813191,0.0
360050424002,39.517166475615454,1.9934261616937143,2.7219335825594726,6.5385991324436645,0.12398584862303368,9.942638526678203e-34
360050083002,23.300354327214876,2.579652556237356,2.160216372228142,1.673710666496774,0.21998374414736965,4.8573334978054154e-104
360050403022,33.232735718908856,6.2877317408368825,4.229364435012187,1.368479146406969,0.18251688604102334,1.1539522497679708e-71
360050420002,29.674975677525666,3.603295489206772,2.5874105566994956,1.3282289365861502,0.30727194366933985,5.253100817622542e-206
360050004004,36.90354483432114,2.9085987247231913,2.4020808714568034,3.0264425649805133,0.5857888882822636,0.0
360050016002,34.803339231687204,2.640367615488337,1.4753622579072356,2.6486312902331512,0.19768565599303783,5.457469066272218e-84
360050016003,39.42277552195253,3.917875880034515,9.185803654876992,1.825608670334617,0.3881687872444943,0.0
360050016004,27.624959797732885,1.5744918090510112,2.661723656714898,2.497395613952108,0.27064567808131773,1.7086374142498418e-158
360050019003,37.88760471206,1.194206970149608,3.8186066098366354,1.7119580642862697,0.1913395516319693,1.0506004326460606e-78
360050019004,30.333958949539237,3.512426285282764,4.0126145440851815,2.330303272058245,0.10908771771417315,1.9190286691643463e-26
360050020005,31.866287992910927,2.234561530055558,1.7076470257718626,2.5247378805893135,0.14277181523393875,2.8599522180184033e-44
360050020006,33.59541494952984,1.845627485096088,4.861795236814971,1.8317839359986936,0.15662324548503795,5.044230659807581e-53
360050023003,30.59887572626093,2.725627483778652,4.534006836488402,3.1534015344775526,0.11415598303457411,8.134540248255703e-29
360050025005,37.6755467015397,1.185341486114993,5.7681156760053796,2.846246486407381,0.20395276689719555,2.1679299027632496e-89
360050028002,35.80377446875161,1.3045745482896791,4.115758173481325,4.660500193780308,0.37707957809444115,2.055423e-317
360050028003,18.02630033395802,1.2507824623997408,1.029141808400766,5.103421528774845,0.009251050784983193,0.36826473682889005
360050028004,36.6205151727674,3.159345537071168,11.963310903987919,1.911587383340522,0.01726454607009483,0.0931159050204616
360050035003,12.513199096978894,1.9115803014462216,1.2638600624885044,2.8533214604140085,0.028449484525138777,0.0056503713591195175
360050037001,29.058563258403105,1.845298298388311,1.3722735974859432,2.6481360754489245,0.12950366679831016,1.1454137317182772e-36
360050039005,30.916036776128863,1.2287386154845308,2.3769702949910823,3.373676814258374,0.1736257968400092,6.321762236550759e-65
360050041004,30.60720249619909,2.5284036667223457,2.2205650216626367,1.4830976614563198,0.3437073834669758,1.4364272364165374e-260
360050042001,39.91171105185515,1.6356553542852623,2.8524281038498316,2.1222484965135777,0.2699462832387544,1.1791515995425038e-157
360050042002,37.303251329402855,2.65968172339538,10.961973762792411,1.0443348483963177,0.08257821638471585,8.633569200748888e-16
360050042003,25.81728558591942,3.2930005041257857,1.428270920259564,3.402493796758783,0.1702294098624282,1.9108273135231916e-62
360050042004,29.217760073252748,2.4730675406256495,3.3284235030457063,1.7202051879027707,0.26149344664081137,1.0314267963569981e-147
360050042007,12.677958667297304,1.832746676137873,22.274648765901574,11.069320367792812,0.015422320335877529,0.1336184986377253
360050267012,35.86467253262009,5.124041344000119,3.6334162765436844,1.6745207754740932,0.12305585895022371,3.019513878676227e-33
360050267013,30.61427236059083,7.368752324524365,1.5045960141877686,1.1579878815177835,0.3096471882802943,2.459219727081999e-209
360050267022,32.2753180527459,5.320887854109562,1.1142424668274034,2.3532081420064603,0.17841502112773153,1.6417601988657632e-68
360050267024,38.780097445728615,7.551414008705507,2.1272026824637793,3.716724648377493,0.18876026831286385,1.3075758293732049e-76
360050267025,38.42102742011414,1.1243593010993607,1.0686694277161095,1.2461059016891909,0.32585331854844063,6.869266555223593e-233
360050267026,28.50642086431162,6.085596988157374,3.2756064801379807,1.2961728714093113,0.2428738061821246,4.435057240553864e-127
360050269003,38.17939976345421,7.502592384150496,1.5677066113802738,1.7281574851678272,0.4048837617739408,0.0
360050273003,31.85918336619948,5.379824280877408,4.200097758805384,1.878624351875601,0.1389496503068779,5.302934963801569e-42
360050274011,34.94951810100545,2.234522376214585,9.803834131527578,2.8419071604011066,0.05777023735891808,1.8752783069628864e-08
360050274012,39.57153499738064,1.2843193950902787,8.507809615271299,2.4568838555644277,0.09593147599997635,8.651847688235591e-21
360050274014,22.985647104723025,3.722649441329705,2.4513667684440574,1.0687776172023724,0.14639991233487804,1.756361895995461e-46
360050274022,34.5249251074963,2.484481595974273,6.058505197520063,1.1074727827172879,0.1395423931019116,2.381888238487957e-42
360050274023,36.21589142841452,2.332910541740425,9.727282795737352,1.159096311301056,0.08678422417593423,2.763708795996197e-17
360050276001,12.42759532126621,2.1734770264009526,2.7522133131782596,2.975906220693126,0.015648699663805884,0.1280079144792144
360050277002,37.27951938593448,7.319192181057673,14.051691054418214,2.130113888714959,0.42610046961734,0.0
360050277004,35.47734823960417,8.2626477528541,1.7031362770245835,2.169864946843518,0.7040166079227903,0.0
360050279005,34.01641684731064,6.589330959918584,2.466486995342194,2.28974983280103,0.2853543934728366,1.0091244438878888e-176
360050279006,39.78813894673041,5.736102252908722,1.950501654563567,4.734607210377362,0.4385647172142689,0.0
360050284001,23.34481666280081,3.030223734729404,1.5126162804164096,4.51630564683709,0.08431266696117598,2.1315289492987093e-16
360050285002,33.28154087821814,3.8941094837353774,8.144571062667097,3.0581765577962585,0.28394811178627327,6.244593696227135e-175
