census_tract,exp_distance,exp_area,exp_poi_diversity,exp_poi_count,corr,p
36085000300,79.64777599922343,2.382064280590612,13.163893495498314,6.174897482131428,0.237412380316854,2.3672029840079335e-121
36085000600,95.09424925524195,3.068156630508156,1.5723837080332714,7.185479814056066,0.4182304809301096,0.0
36085000700,53.20289933552411,9.090353230131257,37.46549435876858,5.858875310504345,0.13320892690438907,1.0288402675256666e-38
36085000800,91.33256888854942,7.092365938275407,1.6112471230844676,1.0557089064471938,0.71240235476494,0.0
36085000900,34.51179770124463,1.8875987973049178,8.721672189003584,1.5274142025339188,0.1843267005643164,4.433685415696119e-73
36085001100,88.28031349502601,2.66929584583238,17.654803124845046,12.622159430895522,0.349924460978693,1.2043047264842254e-270
36085001700,99.27498286089849,3.2710105069566,18.50362306368574,5.390652187510341,0.6324368315806919,0.0
36085001800,87.52617111709912,13.767898216314165,19.322045762352815,1.2493901555839102,0.37817411340021445,2.14434e-319
36085002001,84.83190748068637,10.7234030903835,14.01417405782118,2.755454340393044,0.09388526274284116,5.64027337441476e-20
36085002002,30.877249594335694,4.5364579607930295,2.8249293451530093,2.0510918113109256,0.4849073866827383,0.0
36085002100,65.63933787782759,3.073003557964853,17.003087600903086,9.614900705981768,0.8273831954427872,0.0
36085002700,99.40422549924817,10.50950807215105,4.858882519727899,16.723281825722893,0.8686604997561872,0.0
36085002900,73.6353271663952,7.320782312912808,1.5895914083271805,1.9617038113174772,0.7037719493283149,0.0
36085003300,81.64508987510271,8.040413796303937,8.620072100475738,15.069881172653936,0.46310662258663843,0.0
36085003600,62.50160352974227,7.413329118129127,2.14822516207019,3.1008272236714447,0.5881890965286826,0.0
36085003900,73.33455250753661,1.139384121354496,1.3430386868861888,4.6660731170089775,0.37077617646560324,3.774741772578601e-306
36085004000,98.62358652869062,8.987231733414433,4.455640349874727,14.479793692434441,0.5665105980292405,0.0
36085004700,67.40762258044936,3.1832440696886,3.1985055881149265,7.865188863793408,0.8301711432598512,0.0
36085005000,68.13645008517278,6.056466573139801,3.3044816880235146,3.619273685670464,0.8392294983972629,0.0
36085005900,99.764684673283,5.272601152874699,5.01604704957337,4.96567555397786,0.35750323766775083,3.0479267067007995e-283
36085006400,96.95184590230849,8.724313771430843,6.4544681351937925,2.801436375815115,0.6586288758385347,0.0
36085006700,34.49818788789935,1.0350599343562976,2.4555467783561085,3.3914742311523014,0.17295980059830157,1.955632769985156e-64
36085007000,65.46277216786191,7.711109079878639,2.9363039796590584,4.946075013068537,0.578158728151661,0.0
36085007400,58.05133656253031,8.038205285169283,5.959666830630681,4.480454759358054,0.653690692127357,0.0
36085007500,79.68278824020956,5.273738602012941,8.007530796574173,16.102761160949626,0.3185349003293216,4.5227380919467586e-222
36085007700,94.24730881630626,4.974987779130174,2.7385349609286322,22.745914485655362,0.3114552242744352,6.846824625675557e-212
36085008100,93.74293270962161,1.7577120629463536,2.281639651210554,15.523419994512608,0.1898714525023792,1.6505614202158244e-77
36085009601,64.38161608912225,2.5532444314442273,5.693150973859929,1.3628869830861277,0.4087429286983405,0.0
36085009602,33.91810622538685,1.1138122030698696,7.3721899402446525,1.6943256236588127,0.39218571392076146,0.0
36085009700,98.56577478327176,22.22047047144582,94.7473362217541,18.816374525468177,0.12998190402507612,6.2823913441329085e-37
36085010500,83.69642494876547,6.654689362178374,3.364904819858964,2.6435031105459643,0.2531858508462879,2.709074970031247e-138
36085011201,75.24415590011051,10.277936253439883,6.629197830430485,1.1361251220818076,0.766544303464227,0.0
36085011202,44.199479349542685,3.242795515770922,6.311554851566257,3.844545287174583,0.87465492203409,0.0
36085011401,84.06968931974285,9.813984479194914,14.609364629215037,2.083350008974435,0.34474489668355857,3.102001446892671e-262
36085011402,40.557062841872124,3.765179737215192,1.3267125130446686,4.2790622243541065,0.7815846150367031,0.0
36085012100,45.58567255399123,3.6223987109296445,3.368174888470321,5.028187777553853,0.1667849699695183,5.546947387105512e-60
36085012200,86.66925116983879,9.384432355672743,4.084643218175756,2.578993198784474,0.9416312843049766,0.0
36085012500,39.72564371955389,3.2454218347266988,4.229958366640403,4.5716553238586926,0.06286247757541519,9.37329862450528e-10
36085012804,87.52732993767195,5.234850237053116,1.8254531230565476,1.3323563076110645,0.9530420135324226,0.0
36085012805,84.0714543156439,5.525812892416809,1.1224523958210852,3.9444061489000433,0.7251268929376452,0.0
36085012806,92.48828963685355,7.880413740952122,14.316657765126365,2.1649978438018707,0.9607647792051976,0.0
36085013201,89.52534235164742,6.329788624580431,2.6228002538974806,8.928387123719801,0.19011988786321574,1.037292864876577e-77
36085013203,48.131552095402924,3.1754417793253875,25.112823959392927,3.95700009730308,0.897046418454447,0.0
36085013204,95.08694134216512,8.424748171375995,6.385863578090834,2.555092978638413,0.6308015815963133,0.0
36085013301,42.02026615481191,1.1254458019021314,1.6355841503702777,1.0449639725924271,0.6147749738131092,0.0
36085013302,86.93475945515064,1.7522183529205222,12.579767489071855,1.8679533265986947,0.46147065863135744,0.0
36085013400,99.01350048298661,7.840406483068364,2.165850051319694,2.3094288002412213,0.8383287593064978,0.0
36085013800,97.15379060550998,1.05128545970274,2.6426211763263154,48.547982409246686,0.12571462484800444,1.232722486999605e-34
36085014100,73.15379286304199,1.4500713110908237,2.5771038285323584,1.4624229137879183,0.2722427942648829,2.0300698425781755e-160
36085014604,68.6061665028426,1.0693793822788393,3.2734522835703785,15.372682454845233,0.8375129721908432,0.0
36085014605,93.7559363037769,4.753130372619125,1.2025944459669518,3.9573436734327743,0.9558864676400707,0.0
