cbg,exp_distance,exp_area,exp_poi_diversity,exp_poi_count,corr,p
360850134001,30.123134638501938,1.3206647035988226,5.987498448115133,7.87312686678024,0.10408626154674114,3.297691046261088e-24
360850070004,33.39865160468946,4.578263516393605,2.3660694244646265,2.303449275470882,0.6029620294197483,0.0
360850081003,30.988524713878064,1.6426374671577122,6.249791801387218,3.19567324191965,0.1557731248341217,1.8376778597481375e-52
360850097003,25.196740736653133,1.4574046485016012,3.0752188138015697,1.410263341411234,0.10764382622828073,8.693156088698232e-26
360850121002,36.90214001298355,1.5169795068365133,15.36482495448898,2.637369379384303,0.008359246735679554,0.4162230809940982
360850121003,35.807434146029905,1.3794852826071633,9.817303931265876,5.336384099070303,0.02397280139374345,0.019710922256700226
360850133022,29.196694391884137,1.4448618950380592,1.7366091753869917,1.5382444764070442,0.1973027292112808,1.1510872366963434e-83
360850170093,34.45444245961937,1.0743726086801644,1.040873851084882,10.982284268066877,0.23450799779211567,2.2953048382639315e-118
360850170104,19.89089728030571,1.3103464311331976,1.2461972971454145,3.3264077825431073,0.1196839815814547,1.5781520486076602e-31
360850176004,38.92434995228618,3.4382393784408407,9.037509046197227,3.9988590925471215,0.25868135026697225,1.7404611927318034e-144
360850181002,19.538814971998193,1.4022328654847058,3.304061366298015,2.43047017501857,0.10013918636955488,1.613761574369185e-22
360850181003,32.36557711089485,2.3241004359679067,5.3377670752600865,2.2885638611167387,0.09908101480106037,4.463752389799017e-22
360850187012,20.9635965259655,1.4205798468863122,2.7030274742317104,2.8346549523086253,0.38344923779914547,0.0
360850189023,28.04265473019794,1.387018394253971,1.8780213809236628,3.3708664242375335,0.13541015440123652,5.867969621644989e-40
360850207003,34.31662188170546,2.1879245795303035,12.79703682344848,1.319471835931239,0.0019462958879959602,0.849868012539049
360850207004,23.160846216016807,1.2637247011669341,11.773300246215605,2.5589346766897094,0.03671809524929472,0.0003539729099236516
360850208033,37.5366915795822,4.460013192904523,1.2642765619728635,6.5818569029679,0.5530225851787701,0.0
360850134003,36.59402684533757,4.915378138967554,2.5967737111092077,1.5013803993896886,0.19397007658868476,7.135538261060439e-81
360850138002,31.386128302131738,1.3295818225253981,4.781286166000985,1.2896980558976452,0.1292837067429974,1.508696412435618e-36
360850138001,39.42749631014304,1.1758735884137361,13.725166031124923,17.88324092283147,0.18641166468948653,9.947656739322485e-75
360850141001,29.72733605463793,1.7190847735248695,5.43695777147677,1.5825610501741778,0.23583944267412735,9.926283414743702e-120
360850141002,25.134553995597898,1.1562318952029464,4.6040144448773646,4.143267259728077,0.11217472027967473,7.092826367802105e-28
360850277041,26.824068852841194,1.101051292821026,12.79063746540612,4.576087466366829,0.2413052711571569,2.0264172752907594e-125
360850277042,26.958556739280198,1.1277564441258505,1.4186665317175482,17.61800509938829,0.20497914149166374,2.717468894498634e-90
360850208041,36.51415595244549,7.884860406022398,20.455668506996524,20.284057278806834,0.557012409690849,0.0
360850147002,26.742210361312118,1.2597983404767703,9.261993323404027,1.0458519223337532,0.24496357732518736,2.6105931255210324e-129
360850147003,39.996684368254705,3.017786934681226,7.271650525808977,1.3130840738284633,0.5225564926995883,0.0
360850147001,34.73219233001899,3.6005753016294193,3.294715907609344,2.667940342403938,0.07250604628089723,1.6547907721133538e-12
360850151002,36.10154447921185,1.374945935541092,14.784732073396242,1.877460393067338,0.23642625200966236,2.4710088914554775e-120
360850151003,39.993956742828914,1.2048368295871796,14.192977455875791,6.9997118070334565,0.06957220325554599,1.2488788571737645e-11
360850151001,33.27183400214463,2.3793968092604416,7.139891339761633,1.8203328203908384,0.18127108665537361,1.0663051869610014e-70
360850151004,38.71454295726558,2.3999501778284866,6.26445263746696,1.9312390219171078,0.49953586602459116,0.0
360850151005,39.10051899378249,1.3114953086930043,1.4102091480687307,2.51518224477433,0.5494792029973551,0.0
360850156011,36.115175243330526,2.492611050247973,1.3095592723067853,2.4317795783285185,0.8869658493103397,0.0
360850156016,38.53800076488946,3.4590187674896242,19.72137400133888,2.3652657371586847,0.2534631031800323,1.3305710433200448e-138
360850208043,36.531975008280966,7.229192716526896,32.70080924181508,13.66691905370867,0.39161710463265537,0.0
360850226004,39.6539224795373,9.404963433799722,27.236029077678637,28.647770122103385,0.6164383736120752,0.0
360850244013,34.39566943879409,5.873286670803736,6.122973226036919,2.37389435897785,0.24757368979611213,3.991075055576425e-132
360850244021,38.597650759929905,2.216139935915379,3.7371540592482546,1.8433158657352067,0.5781256459297004,0.0
360850248003,33.94669220076264,4.117568736035803,2.7967480737107735,3.6154411463643044,0.5073977789655378,0.0
360850291044,26.52239194700249,1.1880367704509496,1.122328387640266,1.1322631705511697,0.6285935204394307,0.0
360850319023,28.506150882532012,2.805039489125079,35.5679323319639,1.9989903834995744,0.016898495004317164,0.10026351808566375
360850128042,35.17162979117268,2.0524584246295188,1.6128921417378024,2.262385749496275,0.7366617762949135,0.0
360850128051,28.42169930330047,2.360702731714327,5.075246278364716,2.2495280530259834,0.14778899571993442,2.413332332517101e-47
360850169011,38.23684507005409,1.312132068012346,2.6363440508792877,4.966663108115142,0.4472180788284399,0.0
360850198004,39.67842535611577,4.280316606991931,20.092225083102235,2.231829364147387,0.536465149144683,0.0
360850156012,29.711602637665322,2.239892242826855,2.5509913396865294,2.0814642310893987,0.7472262526768106,0.0
360850156014,29.380393644248574,1.1784249095126427,2.6730167566452607,3.663222109560934,0.725936150213045,0.0
360850156013,36.90065948833768,2.215423079769039,17.090858027946197,2.1279655883104738,0.47445967358009494,0.0
360850156015,31.112873795068793,1.662695746510792,6.106082310988356,1.5992799362857113,0.7943914619453829,0.0
360850156021,37.08613554565383,1.8922570945943562,4.45935874514668,3.3593632335237373,0.7952577808544921,0.0
360850156022,33.77732366565026,2.0140459988724047,5.550215378216592,2.607315550900722,0.7952825949385032,0.0
360850156023,30.462610367941522,2.1984292566745864,12.295468030631852,2.159541636320654,0.3177418272349631,6.451695159150909e-221
360850156024,37.80528940916713,1.5919976258653037,2.2687253045502658,2.359908004719557,0.6846752101859386,0.0
360850156031,37.192196046271064,3.0681857428682027,5.338626752013081,1.003387900336234,0.7598267253155266,0.0
360850169012,39.58172059885948,2.838242872986797,19.22317709991929,6.218532310090325,0.026942911455477402,0.008772274859046032
360850170101,38.93929492412468,8.34654093696603,35.990022151346565,16.16126213437506,0.19918705990283986,2.8816811927677246e-85
