census_tract,exp_distance,exp_area,exp_poi_diversity,exp_poi_count,corr,p
36061000201,4.353799857190197,1.0550587764174146,1.083888109671749,1.0357484353432689,0.02959813685496104,0.003986952492385494
36061000202,4.111038054762819,1.2819903892576505,1.6447842711330796,1.001466090152313,0.02113751357267574,0.0397868773461082
36061000500,1.0221178363449965,4.919441254423564,4.971103345343447,2.591300010874971,-0.0002835335697002412,0.9780011157168602
36061000600,4.586950856385844,1.3994617322169882,1.3769112592704857,1.0688358383578738,0.021567509278819195,0.03592385772667354
36061000700,4.842878153172855,1.1408170607351003,2.9656327563441507,1.2913348991694285,0.3192506963766711,4.079221628452218e-223
36061000800,4.871691618589221,1.0264965375608854,1.4500333709446898,1.165368337686532,0.03969111602001822,0.00011261278399958885
36061000900,4.98228590235469,1.060662354611516,4.731678186288086,1.2957501616804628,0.09591245449077888,8.805582267247136e-21
36061001001,4.007293798155928,1.1856860678687386,1.500566021100088,1.0447634990876082,0.007394381538446758,0.47204907207372504
36061001002,4.170077563736617,1.4404323252597493,1.038639784112764,1.2975747246426543,0.019669819467155673,0.05572631495528407
36061001200,4.480191797877193,1.2950216703017041,1.0033977214533678,1.1048006832308257,0.033962813182003344,0.000953157029112961
36061001300,4.105242669046397,1.0300128784261724,1.8973123721988547,1.1579462069351383,0.1586133077991386,2.3766957830081315e-54
36061001401,3.7219013548776765,1.464919073574432,1.1232822383375662,1.0072447815036334,0.021814364644942835,0.033854152880808945
36061001402,4.863454963908939,1.122130449155236,1.027539688105751,1.1837375106092265,0.026434017391215342,0.010132194292123253
36061001501,4.964845906672824,1.3318582788722324,3.9759432273079955,4.382186664582612,0.39479010944084625,0.0
36061001502,4.979961035234421,1.5245868328884846,4.023867375894135,4.239645004958234,0.4380653271621417,0.0
36061001600,4.17518338486455,1.2098243785926357,1.7374250213164864,1.0135897692503022,0.06937285716796064,1.4285151911717157e-11
36061001800,4.344169940282953,1.0728588161125074,1.62857574230968,1.0029757262212975,0.0956134523062861,1.1609102251439367e-20
36061002000,4.679352290621301,1.5561323824682205,1.2499699465573748,1.0941173712441596,0.02307864934624383,0.024780406591135083
36061002100,4.654873592705737,1.201882143487481,1.2984833254004085,1.4282602810038671,0.12466078167575753,4.4163393461505796e-34
36061002201,4.786671584293878,1.1139000967888482,1.0675452576948743,1.354127515899279,0.03177660649513535,0.0019934345589463845
36061002202,4.346173660727013,1.387234842679817,1.5598930597142853,1.1014470296274865,0.0174446734126208,0.08975194198938358
36061002400,4.215530861800698,1.1864316594356097,1.0879458776749935,1.221692753803834,0.022820535255085445,0.026439404682720005
