census_tract,exp_distance,exp_area,corr,p
36085000300,20.86867907111474,1.0362941105339587,0.41022984615049646,0.0
36085000600,32.3523103282818,3.162820205688789,0.7587321488892981,0.0
36085000700,16.46849211616788,1.009720792679218,0.4305227390467681,0.0
36085000800,40.643844527959885,5.640139925956191,0.8950235964900518,0.0
36085000900,13.307262366084656,1.0127983476784266,0.47312306798495785,0.0
36085001100,40.211021926884754,1.036122393260598,0.5772001176589974,0.0
36085001700,65.83359549738202,3.270123482560507,0.4779615029191459,0.0
36085001800,66.7459583013042,11.342524235526607,0.6891923725211413,0.0
36085002001,47.41710590832991,6.587711453439178,0.9526812608769466,0.0
36085002002,22.480287557568403,3.397113839405673,0.5816925276436727,0.0
36085002100,59.83606771184083,2.9671350122679847,0.8347733310389089,0.0
36085002700,99.73983981228935,9.025707172362575,0.8507663370346203,0.0
36085002900,30.08845363615203,3.235829625384367,0.6848234866155657,0.0
36085003300,27.009722795340394,2.5537094380431427,0.460536102446358,0.0
36085003600,39.61484869499513,5.454116917039753,0.875266366577993,0.0
36085003900,27.36738395755239,3.064180663145699,0.35612662689843627,5.866992874587202e-281
36085004000,22.01846233833072,2.3273230422249753,0.5934899102943029,0.0
36085004700,93.33497038872656,12.436308698057928,0.8710104205407359,0.0
36085005000,39.11410588117095,4.081222691742704,0.7603762478947493,0.0
36085005900,98.8480639869714,11.624434676159694,0.6593737970034723,0.0
36085006400,62.34453254218904,10.64910126095208,0.7510822565268611,0.0
36085006700,99.92443663181166,8.926195919068958,0.6646787059628346,0.0
36085007000,33.535306854040655,5.849497774066824,0.7379643117866261,0.0
36085007400,29.038746086694278,5.075453313027914,0.7191416816652122,0.0
36085007500,32.75484061118502,1.6248908524177068,0.48403705984282785,0.0
36085007700,31.759826658178234,1.0759644829156514,0.5112760008830727,0.0
36085008100,9.10671076212327,1.2115018723446838,0.3214918482627434,1.9811902186455336e-226
36085009601,49.54218910354541,7.991278978551646,0.6128999649336582,0.0
36085009602,17.850215882795652,2.7157859538335742,0.5611775696063523,0.0
36085009700,46.089936476362666,1.6324253292148114,0.4918682838884441,0.0
36085010500,15.291848061554845,1.3410693207709983,0.4996141217390536,0.0
36085011201,60.23353706657149,10.440515025469495,0.8510484998178364,0.0
36085011202,46.291692822028566,4.483438490684666,0.9236064876176218,0.0
36085011401,99.79663975932954,16.572730880846553,0.7406976054867517,0.0
36085011402,48.89692213392125,5.860371956716108,0.9217064471387286,0.0
36085012100,98.45008744142052,10.48303574677243,0.7038132929118238,0.0
36085012200,68.95179981229535,7.913818291915784,0.9570796065140657,0.0
36085012500,9.653384605895667,1.0511989939924433,0.38183377188370315,0.0
36085012804,98.63440541371324,1.7056315392193255,0.9282552649854383,0.0
36085012805,27.91859435562432,1.7314081508858408,0.765407069705438,0.0
36085012806,35.30106399578653,2.1792877314763928,0.9409693098565528,0.0
36085013201,16.830653973665456,1.0743631769436206,0.6455576342292647,0.0
36085013203,34.148205666195565,3.0782771770522004,0.9128319118994107,0.0
36085013204,15.073693220249083,1.489576075320997,0.6870915850637603,0.0
36085013301,98.9399822520428,6.523463248842518,0.6076195504529632,0.0
36085013302,99.86831214138795,3.5240369713675364,0.4652026887282416,0.0
36085013400,23.713632583871288,2.760756783458305,0.7366016898512089,0.0
36085013800,12.438964816078737,1.3808683967978368,0.5236393806983274,0.0
36085014100,12.841259682968996,1.1599525526335128,0.4209727593091321,0.0
36085014604,43.43610566897721,3.715401278447075,0.8478602840629752,0.0
36085014605,92.11547876014924,5.468371320179813,0.956590702084218,0.0
36085014606,99.94670078874515,6.618508259737387,0.902552135659048,0.0
36085014607,15.041725680249328,1.0200662593357492,0.5173133751429473,0.0
36085014608,18.92064251792209,1.442876384510555,0.5978201128539747,0.0
36085014700,35.783366229222,2.3520382038802836,0.40521409934643177,0.0
36085015100,21.459654609736504,1.0476744657838708,0.45971251585077716,0.0
36085015601,54.067220335327534,5.563720546372584,0.9539890618128263,0.0
36085015602,49.61371528972961,5.7830497098294025,0.8782919785236748,0.0
36085015603,28.201679598863517,3.397056536505523,0.7472210017596032,0.0
36085016901,27.234966855980133,2.5553182149043323,0.5260948280015214,0.0
36085017005,11.466884926569037,1.1067331594277903,0.5810607883577021,0.0
36085017007,93.52507532757704,5.996017018979046,0.8309934684666913,0.0
36085017008,27.511349530144514,1.3328643609664823,0.633702583776725,0.0
36085017009,99.61582141978158,10.469224626997184,0.7852544816015046,0.0
36085017010,58.7995122322872,4.346104634877431,0.9476987858519511,0.0
36085017011,96.83108161938765,10.428666208538743,0.8090296897888978,0.0
36085017012,9.48410281017405,1.1896324344450022,0.4996160960606406,0.0
36085017300,99.96795261197792,13.21577624022325,0.8598445747816778,0.0
36085017600,22.247048361811892,2.884518107313056,0.5874715447063817,0.0
36085017700,25.81477008747854,2.981607539319498,0.5331773247115391,0.0
36085018100,21.10162098719141,1.5396380096825624,0.5560157379821805,0.0
36085018701,37.390848708335504,2.6789839837811087,0.48225266729326216,0.0
36085018702,76.44532866968524,3.2540105692397674,0.6836008149505732,0.0
36085018901,57.50872840520767,3.874991244888861,0.7719349113149394,0.0
36085018902,21.780208739646447,2.0584112673316213,0.5015153986218472,0.0
36085019700,39.51060459284815,1.1746426398999574,0.5061243890898114,0.0
36085019800,10.280493878078516,1.6198657278001747,0.43586442672193587,0.0
36085020100,14.05858735587168,1.0111172316345574,0.5132176875135909,0.0
36085020700,32.04950851371444,1.053018465574496,0.6061927811221696,0.0
36085020801,19.381759250288553,1.0809228745688415,0.5850226650684436,0.0
