census_tract,exp_distance,exp_area,exp_poi_diversity,exp_poi_count,corr,p
36081000100,3.3606851189584432,1.1557223888449428,1.1299143243395564,1.238122181980323,0.029379638491062645,0.004264166938523433
36081000200,4.638346358919229,1.051167227735693,1.5764530629197164,1.2723295434084427,0.004512956939292662,0.6607274391965683
36081000400,4.099322534313437,1.701454214284574,1.1079494016660085,1.4553799487923982,0.00826369301020631,0.4215715842076029
36081000600,4.899939341756092,1.392494951378791,1.2565036030651058,1.0090193710058522,0.06193241544245416,1.6496329976416538e-09
36081000700,4.1192811095211646,1.2141489454918954,1.6689335526300546,1.0351993894870581,0.05262259010947659,3.033578340706076e-07
36081000800,4.686623049568265,1.3491233190230822,1.6101881311495667,1.060175353055726,0.029630828034736524,0.00394691347368316
36081001000,4.4733509593780845,1.56270483877607,1.2361813537249127,1.319809830401674,0.03229721186934368,0.0016786732777807354
36081001200,4.197317145574665,1.6464022976462989,1.174604261302182,1.0486230042810902,0.04295062485441518,2.9268597023220193e-05
36081001400,4.654678916866153,2.0059194290605777,1.2950543645313317,1.0291118226257332,0.05153399971844151,5.296116271624056e-07
36081001600,4.390844294789964,1.1376120774973506,1.09821435171603,1.1922422165629616,0.029773652122382175,0.0037762347395140024
36081001800,4.144515910712401,1.6631519050146313,1.0396049717260452,1.1014438221503724,0.03714984400405667,0.00030121956111648306
36081001900,4.734319954167141,1.0400382259147243,1.482240271272726,1.2384898880290045,0.09233054125149397,2.2816325785455283e-19
36081002000,4.960758166334845,1.5080659202875033,1.2299151579000736,1.2528372022636312,0.06315334739684637,7.841420695074466e-10
36081002200,4.896638696723695,1.5906164196013588,1.2156911280307572,1.2527278042172245,0.04427784768260109,1.644792013626841e-05
36081002400,4.306008485304746,1.272656426689018,1.22614323769439,1.2263381968296192,0.03032120556782667,0.003182252142235193
36081002500,3.6868382697618056,1.1559546809700123,1.4247175336955946,1.077080654685215,0.024381107746949574,0.017714477082002054
36081002600,4.607825505038434,1.4180554501433296,1.9305974193945534,1.0013645890553047,0.02023691806781509,0.049029002353133504
36081002800,4.566297403420791,1.0126519346558212,1.3968939338928728,1.1912480475282763,0.043703720323146476,2.1146412477338052e-05
36081003000,4.115903848854739,3.041944830341552,1.000045033340875,1.1424486918878163,0.09061966699270486,1.0339779275065942e-18
