cbg,exp_distance,exp_area,exp_poi_diversity,exp_poi_count,corr,p
360470594012,32.50327674329747,8.19997512082513,4.217991636399262,1.833360661465207,0.7552535607105886,0.0
360470594014,35.06726452128127,7.912185339622425,7.701737750276706,3.047564162937533,0.41550352008574937,0.0
360470594016,35.45459201402184,5.379808783630921,2.6130104376953653,1.8334120676833834,0.6647381214110215,0.0
360470594015,38.31133118410503,2.2518063311250245,1.0290236493384555,1.1441246343230773,0.7190705451223686,0.0
360470594022,38.491108832662064,10.080692019790732,2.6215708320714555,1.5452557588665154,0.850063669448669,0.0
360470594024,39.04017771792272,10.769912176945923,3.5705105972679547,2.1946963143479437,0.4214389290210828,0.0
360470594023,29.6731300702224,6.409658518682477,5.739568012528679,2.0616436388410193,0.49815067002734714,0.0
360470594021,20.583958602986797,3.35359477414886,1.425273438584668,1.5728438908126634,0.6032373235844704,0.0
360470596003,27.740522693317786,6.780212490080634,2.209180198941084,2.8089640061829186,0.6805544520734099,0.0
360470596002,35.16571090510047,8.720372505192202,3.740796132696289,2.510301255538794,0.638238948813949,0.0
360470596001,38.23375371265735,6.825753332379719,1.3148509736713265,4.178897459324446,0.6364844767686324,0.0
360470598002,37.29668118682147,5.56261815032974,2.0904276780109683,3.0966736979356995,0.5258003535286992,0.0
360470598001,27.454704745680637,4.215163160884305,1.4656325086025674,1.7829643079223416,0.6853951410067239,0.0
360470600004,39.94414037708043,9.4475223059662,4.245311102704669,5.662025164760848,0.7433313594208765,0.0
360470600003,29.992110510265434,3.9970081567930436,1.2039010214434143,2.222211623961698,0.8200625833689775,0.0
360470526002,26.163761922510687,4.98066020253907,1.7237703250593048,3.22816260065224,0.2234450426016744,2.3125930535985733e-107
360470527005,25.568378595818082,3.3024825030605953,1.435536917475936,3.4097090015332583,0.04538940941328269,1.002585682366077e-05
360471152003,39.27886544524341,4.0505702039074825,3.3532717740198628,3.4736822750667784,0.07723633861514863,5.3596875486353556e-14
360471152002,27.57574962777261,6.193774602634257,3.472334068709813,1.8617687847353324,0.1312519286457562,1.2608501934266398e-37
360471156003,37.33722492509877,4.18861956542275,5.6858698637416865,1.3245376853660957,0.12252157918522652,5.6941030443568834e-33
360471156002,18.543240327028172,2.6491779247579075,3.4537274035484415,3.2678263647224095,0.11339957592947027,1.8679060088628179e-28
360471156001,24.214970466092353,4.685651744139179,5.030967467893674,3.347315007966216,0.000378691880136428,0.9706208631106856
360471156004,30.93928639452521,2.715010359278068,2.46611941494389,3.619164243905317,0.013942379397534227,0.17508978129196492
360471158002,25.899079421708194,2.859596132821025,4.060057437766972,1.6067059237278158,0.125307845570374,2.0199771209147617e-34
360471158001,38.657408203581404,2.0225674084456102,1.2336182010013488,2.7853822353338558,0.27802704438934195,1.679761884252884e-167
360471160002,35.18879088112206,2.4359408532357634,2.808523006410013,4.61317761446827,0.28323331288307235,5.036826386996574e-174
360471160003,36.38950266678159,2.413917227880603,17.071562408162265,1.8161620930850688,0.1766024461324254,3.841103570849341e-67
360471160001,39.265971717810885,23.543179873451702,4.287308052830639,13.530371308939834,0.1870405814463656,3.1362873260425355e-75
360471162002,38.083980470721684,1.836574312020872,1.6230552216433267,1.4555422608271282,0.2647979499632366,1.4793120048155076e-151
360471162003,34.964728325955264,1.3525889237591642,4.852087020099479,6.993887809184656,0.5585255001633788,0.0
360471162001,35.66942060491334,2.3443876262383867,1.818376035371898,3.4491932019669207,0.5778258920151393,0.0
360471164002,36.5961186782131,1.5621407718629143,1.759052225600655,1.532174190352265,0.417534656398187,0.0
360471164003,35.41426313950734,1.4292987625063631,12.260397029984677,2.50317445232509,0.30044379832939844,1.3197302380144802e-196
360471164001,15.467649587225424,3.9538939237562603,1.6092581802135442,1.403320631501927,0.15168522134170545,8.3138237391011785e-50
360471166002,39.51326555045435,28.93707502618645,8.514689795827621,16.57099261612987,0.061909017443228284,1.6730853112939024e-09
360471166003,38.366011374793544,2.3170455352237695,7.767662175964205,4.007397223734131,0.17001103427284944,2.7474867437054115e-62
360471166001,34.645544217939545,4.294885083405603,2.3137727388683658,3.4568112278990952,0.08562621766829907,7.24980989826454e-17
360471168002,30.005335633121838,1.5294301951806943,4.628226135306633,2.0362294082282233,0.1708987194914526,6.259047214819021e-63
360471168001,35.33273563854058,8.330168366751195,3.0645879736983943,1.644988646232406,0.0005391095386726527,0.958185269684832
360471170002,29.864246309186868,1.1778406172420546,3.3527310051146912,4.28175697381883,0.031979933027363606,0.0018645601803220322
360471170001,11.687222697545877,1.1398089812400372,3.1780153579202306,2.4506006005175323,0.003219102706326143,0.7542243922063986
360471172011,18.84701308955282,1.1453998435531503,1.282083476036476,4.734098457413722,0.01564631004120484,0.12806616715930758
360471172012,39.77584939367168,7.406475878186646,10.864342145414511,2.9322667120191,0.17665478149775965,3.508580029619606e-67
360471172022,33.819108918960225,2.9628032548122007,2.037330690300905,1.2167992116798743,0.4581766800534228,0.0
360471172021,20.588975771779083,1.9914151076135909,6.459962325807254,1.6168482939359876,0.01878795365998139,0.06764260474646795
360471174001,14.976802551259052,1.5455858267175984,3.053340516690895,2.474468297496742,0.03232821626050998,0.001661454250738614
360471174002,34.52115283852786,3.236996239977742,1.378709195834094,2.2840226370502563,0.3564945518508854,1.5156082165105688e-281
360471176011,38.99515966843195,2.483147347603264,1.4253835831245283,5.001062977409486,0.2897851433801857,1.9550986407988993e-182
360470286005,30.900477145825334,5.903508834143616,3.7471822236279055,4.1527840297534535,0.24130595990464293,2.0230317020467116e-125
360470300002,36.14656606995726,4.683572727151727,2.6905422418583953,1.4909343327745717,0.5767593881257906,0.0
360470302003,38.7584462171107,3.447396831655255,4.841763584906062,1.0617097994932863,0.3768994070407816,4.3486937e-317
360470305002,33.84213122212981,2.7210015228869793,2.851180008195712,1.5687783972513216,0.4501422629373699,0.0
360470305003,22.761076658423335,2.260505031405245,2.6169769294366034,1.3284885993954703,0.43180244458039846,0.0
360470305004,35.87997751714791,2.6856214578559254,5.428919633279264,1.223141746617273,0.367327112719837,4.3095620525885935e-300
360470336002,38.90879422061491,2.2238270493592394,2.0922710506324265,4.404570297515904,0.16410711467791275,4.190449740532737e-58
360470336004,27.463118362373432,1.319120788974658,1.915911938188776,3.231429875948908,0.26922159801168777,8.673259878829005e-157
360470340002,26.496637037390087,2.6300820459427925,2.5075245926139473,3.374917073864026,0.011217352892374105,0.27528346211883187
360470348001,34.023768233507056,2.685529035734305,1.6502018316736269,2.7568945996484047,0.6561718769824691,0.0
360470356011,35.56753601228366,4.491066321396094,2.4676348129667787,1.6807810517560284,0.43571927277660355,0.0
360470360013,25.976865175913474,5.641124179732133,2.4150938457228506,2.415684529393877,0.4081092518793619,0.0
360470366003,36.044287568154175,3.159495656378155,1.4728146950804728,2.728821704806972,0.1708769443555823,6.4909650681e-63
360470374011,31.951908680401147,4.214329486796714,2.2117570044512718,1.7651258066103281,0.35229680107569905,1.4958441460458879e-274
360470374021,39.634121298753854,2.4837836239760698,1.4449472543200272,3.4525199052726663,0.3378942387743241,2.358722062076648e-251
360470374022,38.208821183622575,2.9462081710898076,2.137561555071727,3.5900200414615475,0.27162159654653134,1.142482388482677e-159
360470374023,35.038332583083765,9.017975505126206,3.0796098838812043,1.0883399111003378,0.2757745722632147,1.0086585557898262e-164
360470433002,38.06091228009194,1.5011985898065205,5.766278655266255,4.535509709838948,0.38468134409449234,0.0
360470433003,26.399759504087967,1.3323982370125123,4.6143615565574265,1.5030650189983703,0.41732630972600304,0.0
360470448002,27.371645689308707,6.881998451692205,2.3769756794284547,3.290915449931042,0.07240749920367245,1.7733709511867646e-12
360470449001,11.699367498399452,2.2671875518985316,1.2427435910774838,1.0416987359428764,0.0972638167648671,2.4978406524383443e-21
360470449002,23.645967583095825,2.9003145426851376,1.5116030428075844,2.567681396925323,0.13127981169337793,1.2169509976644427e-37
360470449003,20.676736265655975,1.2863865797022527,1.8612335511867286,1.7801573700377702,0.062407578432504454,1.2370984787964612e-09
360470460003,34.88087590518336,3.9163465473492636,4.981018668762516,2.1356764132225123,0.021680809429334594,0.03496089267660711
360470508011,37.436091766146546,4.59879754766175,1.3941457698822917,1.4611866530545043,0.45091986016600927,0.0
360470508012,35.09346047104883,3.4668932718851124,1.7902749066083459,1.9248099205549067,0.3663932780239457,1.8270339533773194e-298
360470508041,35.83082138898284,1.9352360502951598,4.229630576976149,1.1653995247782092,0.20027777696194968,3.350958601721127e-86
360470508042,32.53883025063914,2.311989847855017,5.838500369983819,1.6326861568085462,0.193287017718974,2.6268528443705978e-80
360470508043,33.955471856528334,4.6320942134232155,1.3515739118472112,1.4990543366277622,0.5525506805322731,0.0
360470510011,38.97789739922982,2.779369062742308,2.3013377250796765,4.387983695101468,0.8322733547700527,0.0
