census_tract,exp_distance,exp_area,exp_poi_diversity,exp_poi_count,corr,p
36047000100,4.7444172395676745,1.6898310845295619,1.4650263100260652,1.2173776430053742,0.01670022932820513,0.10431370429183395
36047000200,4.8043180199704345,1.0961976617937426,1.7291683289093798,1.0230409651885781,0.06399216257230562,4.666381795702973e-10
36047000301,3.975793764822612,1.1126094700988642,1.4737775980008436,1.1538197277062552,0.04023784520480752,9.043801200898711e-05
36047000501,4.557018269615492,1.0539788524566696,1.622525171883531,1.3340842438212732,0.010262179657529444,0.3182441003258167
36047000502,3.731917436840489,1.0225087205281032,1.0677985812974002,1.145826709245929,0.033735994381665135,0.0010310205400205804
36047000700,3.639652166907638,1.08693898483844,1.2130343940783437,1.056336442153345,0.05309066962693233,2.37922644093119e-07
36047000900,3.8487079904881876,1.0867379532241346,1.4857938889982747,1.014615542941825,0.05741009871466053,2.2967623228486026e-08
36047001100,4.648122155529739,1.4915179286154086,1.069621299683078,1.1019809336327029,0.03915730816454085,0.00013913665805380344
36047001300,4.447422738547168,1.5658547879683837,1.478236922674487,1.0237323443672608,0.021142709896026703,0.039738169743909556
36047001500,4.956732301005708,1.2074646766676018,1.1167806127694018,1.2031291432967528,0.1029028893634949,1.0755884806991068e-23
36047001800,4.896824864289915,1.393625137428451,1.7538452740601116,1.0616211352429552,0.03102668241114307,0.0025426340634370718
36047002000,4.749745405845564,1.3621723548050628,1.628922995322962,1.0059140278606193,0.04565985293484147,8.873053157603258e-06
36047002100,4.868834653709328,1.1183915835357006,1.364194968252134,1.42625682344201,0.07811084461458652,2.7776313161276734e-14
36047002200,4.878794208200098,1.2803359401413914,1.2111117875152733,1.1242200348847078,0.08518134624344081,1.046531161207181e-16
36047002300,4.345455331115531,1.0005167382207096,1.0649265261554177,1.1778253173711768,0.06747379431698129,5.043733788402427e-11
36047002901,4.505798356705739,1.1927634137948218,1.3481497854876174,1.0044113583603043,0.04585845977414117,8.108317125931834e-06
36047003000,4.527868687513395,1.43615455723166,1.3771733194576399,1.1132284389633185,0.06605819888056222,1.2634785659598338e-10
36047003100,4.5464523413141595,1.0274068504718796,1.0527896554291516,1.1951561571478964,0.054956338637766236,8.853391733989523e-08
36047003300,4.472566095293143,1.5936560580852195,1.3102743236327954,1.1791298209342358,0.04974017855861097,1.2953356077551523e-06
36047003400,4.727176512794166,1.0743818577543216,1.7817222428070405,1.0756896625801637,0.06483064257824685,2.759284169172376e-10
36047003500,4.059529894042372,1.9366681711312124,1.106023635346487,1.026381636124988,0.02821737828052129,0.006054362545596657
36047003600,4.974464527018412,1.443159339635546,1.7437072861070249,1.0505122842896917,0.0872288465670853,1.9019579956219733e-17
36047003700,3.941918848747587,1.4034438696415477,1.1529572388755849,1.026814964432461,0.08169914838299533,1.7351510815955984e-15
36047003800,4.855868706934439,1.5499560802825556,1.092023836701225,1.0807300124101733,0.08566042887989112,7.04745995272114e-17
36047003900,4.173284335611768,1.1229313725105072,1.415502361285082,1.1217759762639048,0.035784994977158674,0.0004988405870826369
36047004100,4.697376987179609,1.0549619925281384,1.4525982600962877,1.065716769917536,0.026417587702248377,0.010179068135920514
36047004300,4.674067566702172,1.1054525223073863,1.025793244173311,1.305758020173979,0.04675170725234,5.382047676287008e-06
36047004400,4.409089555354495,1.1164130521452975,1.8222263710436226,1.027388305933254,0.04912825832785714,1.7455841606774523e-06
36047004500,4.949470837552045,1.1059300818810662,1.00262605897991,1.044287520880534,0.04038026925802604,8.537856611714332e-05
36047004600,4.359023892172617,1.0341989771320519,1.2539910680552655,1.1608806776062814,0.04395231746663247,1.8973413158145984e-05
36047004700,4.99155597576528,1.1839862264040435,1.0422239723424216,1.157967859633974,0.027294347028481578,0.007930807920000435
36047004900,4.8560956818843195,1.451046238370747,1.1901681912624191,1.1094162006934258,0.02039252783355363,0.04731407765689517
36047005000,4.946458219197622,1.407821634320646,1.9900612844338532,1.3284949488451687,0.045780568616902426,8.400411268176023e-06
36047005100,4.6811072151495345,1.0977690588275522,1.1467617960409946,1.0946248005522214,0.02868152937079623,0.005270952274296827
36047005201,4.7266916124852685,1.3002507484115018,2.0782506403685375,1.0042499345059461,0.06022247324189104,4.56645903900304e-09
36047005202,3.812773230219001,1.0527323605920493,1.1063639715526765,1.0242669569517915,0.06642788618322477,9.95873317847785e-11
36047005300,4.88483643133581,1.4097621897997534,1.1527553789254377,1.1151647514688259,0.05232837989103156,3.530442544151115e-07
36047005400,4.709140212515219,1.35402590732172,1.2560535961613226,1.0748392138088416,0.07206413969340209,2.255340091233657e-12
36047005601,4.946965706640011,1.1153481562727343,1.7819677038700004,1.0487495308180366,0.0578581360180988,1.7844149642234048e-08
36047005602,3.3579125993235124,1.1606441835837176,1.5761092395977272,1.0585012302348904,0.025399575705247788,0.013487539345011519
36047005800,4.449173850782721,1.3688020554163298,1.0393301982331948,1.0674822828461878,0.09278692564942492,1.5174814624708632e-19
36047005900,4.91871038050601,1.1511251176619188,1.5591876632010013,1.088869374120856,0.028253840849833938,0.0059892228343200625
36047006000,4.424711852604741,1.162099429881323,1.1771094142342093,1.2450285115213227,0.0712897298351725,3.863043798056852e-12
