census_tract,population,poi_count,poi_diversity,poi_per_capita
360050141003,2334,10,6,0.004284490149957155
360050143001,1085,15,11,0.013824884801843318
360050144003,1336,1,1,0.0007485030014970059
360050144005,1266,1,1,0.0007898894233807266
360050144006,945,5,4,0.005291005301587302
360050145001,2003,5,5,0.0024962556215676487
360050145002,2173,1,1,0.0004601932857800276
360050145003,1606,7,5,0.004358655049813201
360050145004,2330,11,9,0.004721030047210301
360050147011,3386,2,1,0.0005906674571766095
360050147012,2367,8,4,0.00337980566539924
360050147022,1342,7,5,0.005216095387481371
360050147024,807,2,1,0.002478314758364312
360050149001,1365,5,3,0.0036630036703296704
360050149002,1386,3,3,0.0021645021717171717
360050149003,1757,12,5,0.006829823568582812
360050151001,743,1,1,0.0013458950336473754
360050151002,1401,3,2,0.002141327630264097
360050151003,1706,10,9,0.005861664718640094
360050151004,1322,1,1,0.0007564296596066565
360050152001,1128,2,2,0.001773049654255319
360050152002,1677,38,13,0.022659511037567085
360050153001,2416,7,3,0.0028973509975165563
360050153002,1120,1,1,0.0008928571517857143
360050153003,1344,4,2,0.002976190483630952
360050155001,1979,6,4,0.003031834264780192
360050155002,987,9,4,0.009118541043566363
360050157001,1158,3,3,0.002590673583765112
360050157002,1205,2,2,0.0016597510456431534
360050157003,2002,3,3,0.0014985015034965036
360050158001,1090,27,9,0.024770642211009174
360050159001,1293,19,8,0.01469450890177881
360050159002,307,3,2,0.00977198700325733
360050160001,1849,8,5,0.004326663066522445
360050160003,1252,2,2,0.0015974440974440894
360050161001,667,27,12,0.040479760134932534
360050161002,1425,7,6,0.00491228070877193
360050161004,1379,9,6,0.006526468462654098
360050162001,955,12,8,0.012565445036649216
360050162002,1058,13,4,0.012287334603024575
360050163001,0,3,1,1e-08
360050164001,1026,19,8,0.018518518528265106
360050165001,1002,28,8,0.027944111786427146
360050166001,1492,22,15,0.014745308317694371
360050166002,718,1,1,0.0013927576740947075
360050167001,745,5,3,0.0067114094093959735
360050167002,2175,19,9,0.008735632188505748
360050169001,1361,18,10,0.013225569441587069
360050171001,0,1,1,1e-08
360050173001,904,6,3,0.006637168152654867
360050173002,1147,2,2,0.0017436791717523976
360050173003,1121,13,7,0.011596788590544157
360050173004,2148,4,2,0.0018621973975791433
360050175001,1054,1,1,0.0009487666129032258
360050175002,1110,2,1,0.0018018018108108109
360050175003,1955,1,1,0.0005115089565217391
360050175004,1464,4,3,0.002732240443989071
360050175005,846,4,1,0.004728132399527187
360050177011,2827,1,1,0.0003537318747789176
360050177012,807,4,4,0.004956629504337051
360050177013,1594,10,8,0.006273525727728984
360050177021,924,3,3,0.0032467532575757574
360050177022,1786,12,8,0.006718924977603584
360050177023,1155,2,1,0.0017316017402597402
360050177024,1536,2,2,0.00130208333984375
360050179011,2964,10,8,0.003373819166666667
360050179012,353,2,2,0.005665722407932011
360050179013,1795,2,1,0.0011142061337047354
360050179021,2036,3,3,0.0014734774115913556
360050179023,734,2,2,0.0027247956539509536
360050181011,1319,6,3,0.004548900689916604
360050181012,562,6,3,0.010676156601423488
360050181013,1187,2,2,0.0016849199747262004
360050181021,1199,4,2,0.0033361134361968308
360050181022,1946,1,1,0.0005138746197327852
360050181023,1249,4,3,0.003202562057646117
360050181024,1457,3,2,0.002059025401509952
360050183011,1618,9,5,0.005562422750309024
360050183021,2046,3,2,0.0014662756647116325
360050183022,771,6,2,0.0077821011802853435
360050183023,1019,8,4,0.007850834160942101
360050184001,823,1,1,0.0012150668408262453
360050184002,842,9,4,0.01068883611638955
360050184003,1181,21,9,0.017781541075359866
360050184004,713,9,7,0.012622720911640954
360050185001,2086,30,13,0.01438159156759348
360050185002,1153,4,3,0.003469210763226366
360050185003,2147,8,6,0.0037261294876571966
360050185004,1025,3,3,0.0029268292780487803
360050185005,931,8,3,0.008592910859291085
360050189001,2069,6,5,0.0028999516723054617
360050189002,2320,6,4,0.002586206900862069
360050189003,2380,3,3,0.001260504205882353
360050189004,1431,11,6,0.007686932222222223
360050193001,1964,3,3,0.0015274949134419552
360050193003,1643,1,1,0.000608642732805843
360050193004,1246,5,4,0.004012841099518459
360050194001,2339,20,10,0.008550662680632749
360050195001,1915,2,2,0.0010443864281984333
360050195002,2410,26,11,0.010788381746887968
360050195003,2358,1,1,0.0004240882145886344
360050195004,779,3,2,0.0038510911553273426
360050197001,2205,2,2,0.0009070294829931973
360050197002,1636,24,11,0.014669926656479218
360050197003,1635,12,7,0.007339449547400612
360050197004,718,2,2,0.0027855153342618384
360050199001,1169,9,7,0.007698887946963217
360050199002,1404,1,1,0.0007122507193732193
360050199003,903,1,1,0.001107419723145072
360050199004,2391,9,7,0.003764115437055626
360050199005,1580,1,1,0.0006329113987341772
360050199006,999,4,4,0.004004004014014014
360050200001,1292,41,16,0.0317337461377709
360050200002,150,56,17,0.3733333334
360050200003,1212,2,2,0.0016501650247524751
360050200004,2097,5,4,0.0023843586123032906
360050201001,1550,4,3,0.0025806451677419353
360050201002,1464,7,4,0.004781420771857924
360050201003,1332,2,1,0.001501501509009009
360050202002,1255,14,7,0.011155378494023906
360050204001,675,6,4,0.008888888903703703
360050204002,869,6,2,0.0069044879286536244
360050204003,1390,3,3,0.0021582733884892087
360050205011,968,3,3,0.0030991735640495868
360050205012,2353,2,1,0.0008499787547811304
360050205013,1776,1,1,0.0005630630686936937
360050205014,1692,2,2,0.0011820331028368793
360050205021,994,3,3,0.003018108661971831
360050205023,785,1,1,0.0012738853630573249
360050206011,1271,16,5,0.012588512989771834
360050206012,1625,2,2,0.001230769236923077
360050209001,607,14,8,0.02306425042833608
360050209002,579,7,5,0.012089810034542315
360050209003,1249,2,2,0.001601281032826261
360050209004,1994,4,3,0.0020060180591775327
360050210011,1121,2,2,0.0017841213291703835
360050210012,259,1,1,0.0038610038996138994
360050210013,732,1,1,0.0013661202322404371
360050210014,4026,1,1,0.00024838549677098855
360050210015,2131,4,3,0.0018770530314406381
360050210016,1379,1,1,0.0007251631689630167
360050210021,786,3,3,0.003816793905852417
360050210023,0,1,1,1e-08
360050210024,1413,1,1,0.0007077140905874026
360050210027,1505,2,2,0.001328903661129568
360050211001,1422,3,2,0.00210970464838256
360050211002,1734,6,5,0.0034602076182237602
360050211003,1056,4,1,0.0037878787973484847
360050211004,988,5,4,0.005060728755060729
360050212001,890,10,6,0.011235955067415732
360050212002,505,6,4,0.01188118813861386
360050212003,1984,3,3,0.0015120967792338709
360050212004,1163,2,2,0.001719690464316423
360050213011,260,2,2,0.0076923077307692305
360050213012,887,14,9,0.01578354003382187
360050213021,2115,4,4,0.0018912529598108746
360050213022,1020,2,2,0.0019607843235294117
360050213023,657,2,2,0.0030441400456621003
360050213024,2359,2,1,0.0008478168757948283
360050215011,1490,15,9,0.010067114100671142
360050215012,1705,1,1,0.0005865102697947213
360050215013,1566,4,4,0.002554278422733078
360050215021,1255,4,3,0.003187251003984064
360050215022,1752,1,1,0.0005707762614155251
360050215023,964,7,5,0.007261410798755186
360050215024,638,7,5,0.01097178684952978
360050215025,1689,4,4,0.0023682652516281823
360050216011,1761,5,4,0.002839295860306644
360050216012,1296,6,4,0.004629629637345679
360050216013,666,3,2,0.00450450451951952
360050216014,588,1,1,0.0017006802891156461
360050216021,263,5,1,0.019011406882129277
360050216022,1597,13,11,0.008140262999373827
360050216023,2720,4,3,0.0014705882389705882
360050216024,559,3,2,0.0053667263148479425
360050216025,722,13,7,0.0180055401800554
360050217001,2102,9,6,0.004281636541389153
360050217002,1201,1,1,0.0008326394754371357
360050217003,968,8,5,0.008264462820247934
360050217004,942,1,1,0.001061571135881104
360050218001,1486,1,1,0.0006729475168236877
360050218002,1965,4,3,0.0020356234147582697
360050218003,1757,10,8,0.005691519641434263
360050218004,1192,1,1,0.000838926182885906
360050218005,470,3,3,0.006382978744680851
360050219001,1142,37,14,0.03239929948336252
360050220001,2174,21,10,0.009659613620055197
360050221011,662,2,1,0.0030211480513595164
360050221012,1584,14,10,0.00883838384469697
360050221013,1702,6,3,0.0035252644007050526
360050221021,2526,11,6,0.004354711009501188
360050221022,1153,1,1,0.0008673026973113616
360050221023,1614,2,2,0.001239157379182156
360050222001,1201,12,4,0.009991673613655288
360050222002,528,18,6,0.03409090910984849
360050222003,585,21,6,0.035897435914529915
360050222004,994,16,6,0.01609657948692153
360050223001,772,8,8,0.010362694313471504
360050223002,1226,8,6,0.006525285489396412
360050223003,1766,5,4,0.0028312570838052095
360050223004,1413,6,5,0.004246284508138712
360050224011,1291,4,3,0.003098373361735089
360050224012,1516,22,10,0.01451187335751979
360050224031,907,5,4,0.005512679173098126
360050224032,2682,29,8,0.01081282625279642
360050224041,649,10,8,0.015408320508474578
360050224042,1180,9,6,0.007627118652542374
360050224043,2436,1,1,0.00041050903530377665
360050225001,1601,3,3,0.0018738288632104934
360050225002,2433,4,1,0.0016440608343608713
360050225003,1075,3,2,0.00279069768372093
360050225004,561,8,5,0.014260249572192515
360050225006,1890,6,4,0.0031746031798941796
360050227011,1366,8,5,0.0058565153806735
360050227012,2071,6,5,0.002897151139546113
360050227013,2296,11,7,0.004790940770905924
360050227021,1446,20,9,0.013831258651452284
360050227031,1775,7,4,0.003943661977464789
360050228001,1570,7,5,0.004458598732484076
360050228002,1481,3,3,0.0020256583457123564
360050228003,1774,7,5,0.003945885011273957
360050228004,1087,3,3,0.0027598896136154555
360050229011,1027,3,3,0.0029211295131450826
360050229012,1152,1,1,0.000868055564236111
360050229015,1295,2,2,0.001544401552123552
360050229021,1404,4,3,0.002849002856125356
360050229022,849,8,3,0.009422850424028269
360050230001,1334,11,7,0.008245877068965518
360050230002,1611,5,3,0.0031036623277467413
360050231001,1650,36,12,0.021818181824242423
360050232001,1175,5,4,0.004255319157446809
360050232002,1527,15,7,0.009823182717747217
360050233011,609,3,2,0.004926108390804597
360050233012,1322,2,2,0.0015128593116490166
360050233013,1344,6,3,0.00446428572172619
360050233014,910,5,3,0.005494505505494506
360050233021,1556,9,5,0.0057840617030848335
360050233022,2045,1,1,0.0004889975599022005
360050235011,1515,12,8,0.007920792085808582
360050235012,718,4,3,0.0055710306545961
360050235013,992,1,1,0.0010080645262096773
360050235021,2095,19,6,0.009069212415274464
360050235023,737,1,1,0.0013568521166892808
360050235024,997,6,5,0.0060180541725175524
360050236001,1154,13,8,0.01126516465337955
360050236002,1114,8,5,0.007181328554757631
360050237021,1222,23,12,0.018821603936170214
360050237031,2785,37,13,0.013285457813285459
360050237032,1497,6,1,0.004008016038744155
360050237033,1484,3,2,0.0020215633490566036
360050237041,721,4,2,0.005547850221914008
360050237042,1995,6,5,0.0030075188020050126
360050237043,1426,8,4,0.0056100981837307155
360050238001,89,15,7,0.1685393259550562
360050238002,1225,7,3,0.0057142857224489795
360050238003,1209,7,4,0.005789909023986766
360050239001,1441,17,9,0.011797362949340737
360050239002,1549,8,4,0.005164622343447386
360050239003,1043,4,4,0.0038350910930009586
360050239004,1923,12,5,0.006240249615184608
360050239005,819,12,8,0.014652014664224665
360050239006,1156,3,2,0.0025951557179930795
360050240001,1847,9,6,0.004872766654033568
360050240003,991,5,4,0.005045408688193744
360050241001,1067,9,5,0.00843486411433927
360050241002,1169,12,7,0.01026518392643285
360050241003,1195,10,6,0.008368200845188285
360050241004,753,6,5,0.007968127503320052
360050241005,1779,5,4,0.0028105677403035415
360050243001,1362,29,12,0.02129221733480176
360050243002,1602,12,5,0.007490636710362048
360050243004,1435,6,3,0.004181184675958188
360050244001,1043,16,10,0.015340364343240653
360050244002,1275,13,8,0.010196078439215687
360050245011,1927,11,5,0.005708354961079398
360050245012,1299,1,1,0.0007698229484218629
360050245013,730,2,1,0.00273972604109589
360050245021,1649,1,1,0.0006064281443298969
360050245022,484,8,6,0.016528925640495868
360050245023,1829,5,3,0.0027337342864953524
360050246001,1135,10,5,0.008810572696035242
360050246002,1207,2,2,0.0016570008367854184
360050247001,646,1,1,0.0015479876315789474
360050247002,1273,2,2,0.0015710919167321287
360050248001,1022,20,6,0.019569471634050883
360050248002,1113,5,3,0.004492362991913746
360050248003,940,11,7,0.011702127670212767
360050249001,0,2,2,1e-08
360050250001,1396,15,9,0.01074498568051576
360050251001,1694,6,3,0.0035419126387249114
360050251002,792,5,5,0.006313131325757576
360050251003,910,11,7,0.0120879120989011
360050251004,605,2,1,0.003305785140495868
360050251005,1360,3,3,0.0022058823602941176
360050251006,298,4,3,0.013422818825503356
360050251007,919,9,6,0.00979325354733406
360050252001,1407,19,9,0.013503909033404407
360050252002,1295,2,2,0.001544401552123552
360050253001,2194,17,10,0.007748404744758432
360050253002,1452,2,2,0.0013774104752066116
360050253003,1255,7,4,0.005577689250996016
360050253004,1024,2,1,0.001953125009765625
360050254001,1047,17,8,0.01623686724928367
360050254002,973,2,2,0.0020554984686536487
360050255001,2065,10,5,0.004842615016949153
360050255002,2206,6,3,0.002719854945602901
360050255003,1658,6,4,0.0036188178588661035
360050256001,929,3,3,0.003229278805166846
360050256002,827,9,6,0.010882708597339783
360050257001,1875,5,5,0.002666666672
360050261001,1995,4,3,0.002005012536340852
360050263001,1060,3,3,0.002830188688679245
360050263002,672,1,1,0.0014880952529761904
360050263003,1951,4,3,0.0020502306560738082
360050263005,1478,4,4,0.0027063599526387008
360050264001,1567,7,7,0.00446713465858328
360050264002,937,5,5,0.005336179306296692
360050264003,1041,4,4,0.0038424591834774254
360050264004,1972,8,4,0.004056795136916836
360050265001,2754,28,10,0.010167029778503995
360050265002,1837,2,2,0.0010887316330974413
360050265003,2179,10,3,0.004589261133547499
360050265004,1057,2,2,0.0018921475969725639
360050266011,1754,5,5,0.0028506271436716077
360050266012,572,12,6,0.0209790209965035
360050266013,762,2,2,0.0026246719291338583
360050266021,1755,13,6,0.007407407413105414
360050266022,1189,26,11,0.021867115231286795
360050266023,1202,31,13,0.02579034942595674
360050266025,538,4,3,0.007434944256505576
360050267011,1611,7,2,0.0043451272563625075
360050267012,1701,9,5,0.005291005296884186
360050267013,632,4,4,0.006329113939873418
360050267021,1986,1,1,0.0005035246777442095
360050267023,950,1,1,0.0010526315894736841
360050269001,1494,7,5,0.004685408306559571
360050273001,1011,7,5,0.006923837794263106
360050273002,2018,5,4,0.0024777006987115957
360050273003,2995,4,3,0.0013355592687813022
360050273004,2157,1,1,0.000463606866017617
360050274011,834,2,2,0.00239808154676259
360050274013,1936,2,2,0.0010330578564049587
360050274014,948,2,1,0.0021097046518987342
360050274021,1639,4,4,0.002440512513727883
360050274022,734,3,2,0.0040871934741144415
360050274023,1205,3,2,0.0024896265643153527
360050276001,59,1,1,0.016949152711864406
360050277001,1549,4,3,0.0025823111749515818
360050277002,1566,18,9,0.011494252879948916
360050277004,2173,2,2,0.0009203865669581224
360050279001,946,11,4,0.011627906987315011
360050279002,574,2,1,0.003484320574912892
360050279003,1684,1,1,0.0005938242339667458
360050279004,1647,4,4,0.00242865817243473
360050281001,1374,3,1,0.0021834061208151384
360050281003,1797,4,3,0.0022259321146355037
360050283001,1713,50,18,0.029188558091068302
360050283002,1618,42,17,0.025957972812113723
360050284001,687,79,19,0.11499272199417758
360050285001,1158,2,2,0.001727115725388601
360050285002,395,2,2,0.005063291164556962
360050285003,526,17,5,0.0323193916539924
360050285004,1205,17,8,0.014107883825726142
360050286001,609,12,4,0.019704433513957308
360050286002,581,13,6,0.022375215163511188
360050287001,1653,3,3,0.0018148820387174833
360050287002,299,5,3,0.01672240806020067
360050287003,1222,4,4,0.0032733224304418987
360050288001,550,10,7,0.0181818182
360050288002,1108,6,4,0.005415162463898917
360050288003,713,11,8,0.01542777
360050288004,1193,8,5,0.006705783746856665
360050289001,920,45,14,0.048913043489130434
360050289002,1792,10,6,0.0055803571484375
360050289003,1328,39,10,0.029367469887048192
360050289004,505,4,4,0.0079207920990099
360050293012,880,2,2,0.002272727284090909
360050293021,796,5,2,0.006281407047738693
360050293022,1356,13,9,0.009587020656342184
360050293023,1750,20,8,0.011428571434285715
360050293024,1423,5,3,0.003513703450456781
360050295001,1611,32,10,0.019863438864059592
360050295002,1332,22,9,0.016516516524024024
360050295003,1247,1,1,0.0008019246271050521
360050295004,913,7,7,0.007667031774370208
360050296001,1422,62,18,0.043600562594936706
360050296002,248,12,8,0.04838709681451613
360050297001,1522,25,10,0.016425755591327203
360050297002,1265,9,7,0.007114624513833993
360050297003,798,5,3,0.0062656641729323306
360050300001,1065,17,9,0.015962441323943664
360050300002,1040,4,3,0.003846153855769231
360050300003,412,13,8,0.031553398082524275
360050300004,788,13,2,0.016497461941624367
360050300005,1013,1,1,0.0009871668410661402
360050300006,1203,1,1,0.0008312552036575228
360050301002,506,5,4,0.009881422944664032
360050302001,653,1,1,0.0015313935834609493
360050302002,2751,1,1,0.0003635041839331152
360050302004,0,2,2,1e-08
360050302005,5762,17,9,0.002950364458521347
360050302006,332,1,1,0.003012048222891566
360050307011,910,4,3,0.0043956044065934065
360050307012,1983,4,3,0.002017145743822491
360050307013,1139,9,4,0.007901668138718175
360050307014,1264,13,4,0.010284810134493672
360050309001,847,3,2,0.003541912644628099
360050309002,566,7,3,0.012367491183745583
360050309003,1457,3,2,0.002059025401509952
360050309004,905,2,1,0.0022099447624309393
360050310001,1189,4,3,0.003364171581160639
360050310002,1385,17,12,0.012274368238267148
360050310003,2345,2,1,0.0008528784690831556
360050312001,989,5,4,0.005055611739130435
360050312002,687,49,11,0.07132459972343523
360050314001,1069,3,2,0.002806361094480823
360050314002,1124,7,5,0.006227758016014235
360050316001,1073,1,1,0.000931966458527493
360050319001,654,3,1,0.004587155978593272
360050323001,615,13,7,0.021138211398373984
360050323002,2678,2,2,0.0007468259932785661
360050323003,83,11,8,0.13253012060240965
360050323004,1054,6,3,0.005692599629981024
360050324001,1648,5,1,0.003033980588592233
360050324002,1131,8,4,0.007073386392572945
360050326001,1460,16,10,0.010958904116438357
360050326002,1048,3,3,0.002862595429389313
360050326003,945,5,4,0.005291005301587302
360050328001,747,16,10,0.02141900938420348
