date,cent_name,value,education-Bottom,education-Bottom-lower,education-Bottom-upper,education-Top,education-Top-lower,education-Top-upper
2019-12-30,Betweenness,0.00011248415082745948,9.354428128661474e-05,8.713143013825684e-05,0.0001005331387249658,0.0001930251635660724,0.00015727637573439797,0.00023377051627039168
2019-12-30,In-Degree,551.521032010054,384.87248787248785,354.22572765072766,425.9828482328482,668.2776315789474,582.2288486842104,759.1395888157895
2019-12-30,Out-Degree,551.521032010054,473.7990297990298,460.96489951489946,485.4455821205821,352.5796052631579,338.7289802631579,365.4326151315789
2019-12-30,Total-Degree,1103.042064020108,858.6715176715177,823.0134788634789,898.1267151767153,1020.8572368421053,937.2688322368421,1117.3027467105264
2019-12-30,Self-Visit-Ratio,0.07030982674485242,0.08478161600767954,0.08207401170503534,0.0874852486731824,0.09869925168814606,0.0955095911951308,0.10179481966281129
2020-01-06,Betweenness,0.00011342296489797315,9.628761531621533e-05,8.894474598326153e-05,0.0001032103909028579,0.00020153435739859288,0.00016297523273878966,0.0002442944597707719
2020-01-06,In-Degree,619.3852065321806,449.3086505190311,413.96479238754324,492.18455017301034,836.0598290598291,740.5349769888231,941.9163379355688
2020-01-06,Out-Degree,619.3852065321806,567.8173010380623,552.3330795847751,582.8159342560554,409.5115055884287,395.3391354372124,424.18208415516114
2020-01-06,Total-Degree,1238.7704130643613,1017.1259515570935,980.7482525951557,1060.6080103806228,1245.5713346482578,1143.5784352399737,1370.1707264957265
2020-01-06,Self-Visit-Ratio,0.06872269625538298,0.08322463137727176,0.08065993041929456,0.08584892255758564,0.092701478795973,0.08968376174199424,0.09566624588332419
2020-01-13,Betweenness,0.00011169929996388337,9.724627782343443e-05,9.090599244829806e-05,0.00010425050190999281,0.00018995309648228183,0.00015715113950437492,0.0002299539237565276
2020-01-13,In-Degree,571.5321685052195,413.44005544005546,381.43847886347885,451.0392065142065,745.1168745896257,659.1658076165463,839.2151674326985
2020-01-13,Out-Degree,571.5321685052195,519.7498267498268,506.49312196812195,534.1388946638948,360.27248850952066,348.52330925804335,371.58021996060404
2020-01-13,Total-Degree,1143.064337010439,933.1898821898822,900.2396223146222,969.7691268191269,1105.3893630991465,1015.3186802363756,1205.9410702560735
2020-01-13,Self-Visit-Ratio,0.07213092771816218,0.09016408937492568,0.0871895060787906,0.09312773574600079,0.093842715366593,0.090741366016592,0.09719747727136294
2020-01-20,Betweenness,0.00011146842959928339,9.939924937718978e-05,9.218575137595162e-05,0.00010728986563013415,0.00018200956137658653,0.00015019183797987965,0.0002193819223118529
2020-01-20,In-Degree,566.3417852906288,402.45208333333335,368.0309722222222,438.54171875000003,708.4358974358975,630.5694444444446,795.4288297172913
2020-01-20,Out-Degree,566.3417852906288,501.1736111111111,488.5728819444444,513.9193229166666,352.0927021696252,339.57810650887575,364.5555719921104
2020-01-20,Total-Degree,1132.6835705812575,903.6256944444444,867.9284201388889,940.923263888889,1060.5285996055227,977.5656969099276,1152.9874424720576
2020-01-20,Self-Visit-Ratio,0.07328145179838531,0.0942077484837138,0.0911217930746392,0.09731513361108095,0.0966099321611857,0.09347732910716297,0.09984197708567102
2020-01-27,Betweenness,0.00011071765442259816,0.0001023621166644924,9.464991778294832e-05,0.0001098602094861561,0.0001797092821058708,0.0001498160544367189,0.0002111530665385723
2020-01-27,In-Degree,567.494,420.97297297297297,387.6226264726265,454.05634095634093,734.3159973666886,656.2703258722844,822.9297235023041
2020-01-27,Out-Degree,567.494,530.6015246015246,517.3172557172558,545.19281011781,350.93087557603684,337.7931369321922,363.88265306122446
2020-01-27,Total-Degree,1134.988,951.5744975744976,917.0419438669438,990.7310291060292,1085.2468729427255,1002.9370803159974,1178.1005595786703
2020-01-27,Self-Visit-Ratio,0.06480337700675382,0.08020138846494997,0.0773687653668396,0.08345867964662199,0.07984095977683701,0.07697284735989003,0.0828399048635044
2020-02-03,Betweenness,0.00010944618549856072,0.00010034158995688187,9.295088210212052e-05,0.0001076528658691155,0.00017565214889719795,0.00014840031798123716,0.00020669243307782647
2020-02-03,In-Degree,527.6174964754767,383.25882352941176,353.3902249134948,417.74129757785465,680.7041420118343,614.756755424063,761.1394641683102
2020-02-03,Out-Degree,527.6174964754767,487.1536332179931,474.0169204152249,500.52524221453285,319.1761998685076,307.5388888888889,331.061291913215
2020-02-03,Total-Degree,1055.2349929509535,870.4124567474048,836.5482525951556,909.7629411764705,999.8803418803419,926.3341715976331,1083.757067718606
2020-02-03,Self-Visit-Ratio,0.033487522323957714,0.029881910543221205,0.02838272503657565,0.03147908054666505,0.02762140069798795,0.026136977608294424,0.0292721996438375
2020-02-10,Betweenness,0.00010840715186595736,0.00010008965043787741,9.239680315960779e-05,0.00010761955949779883,0.00016827115700958334,0.0001406008085590225,0.0001962600955977689
2020-02-10,In-Degree,503.1468578220175,352.08183079056863,324.4950069348128,385.0184812760056,636.8286090969018,566.9430290046143,709.742303889255
2020-02-10,Out-Degree,503.1468578220175,449.1095700416089,436.40556518724,461.2362517337032,298.3572841133817,287.6318721160184,310.0971654581411
2020-02-10,Total-Degree,1006.293715644035,801.1914008321776,766.3092926490984,835.628987517337,935.1858932102834,863.2907547791694,1014.0841463414635
2020-02-10,Self-Visit-Ratio,0.030669313482719084,0.025780167664126576,0.024069546172693593,0.027915867626961768,0.022751239693170593,0.021267659518926185,0.024325753980769475
2020-02-17,Betweenness,0.00010774315887140315,9.199737038006228e-05,8.528211574293158e-05,9.986432472447802e-05,0.0001645093334518424,0.0001378666467669233,0.0001954027019785656
