date,cent_name,value,income-Bottom,income-Bottom-lower,income-Bottom-upper,income-Top,income-Top-lower,income-Top-upper
2019-12-30,Betweenness,0.00011248415082745948,0.00010372889163721309,9.566067390938311e-05,0.00011508477679992149,0.00019790066312690293,0.0001576337107140989,0.0002484549832182075
2019-12-30,In-Degree,551.521032010054,417.3359941944848,379.6814404934688,460.3424891146589,647.0303249097473,566.6151624548737,741.4453971119134
2019-12-30,Out-Degree,551.521032010054,477.4477503628447,465.14858490566036,491.41144775036287,436.7595667870036,417.726119133574,455.05772563176896
2019-12-30,Total-Degree,1103.042064020108,894.7837445573294,853.6429245283018,944.9179970972424,1083.7898916967508,987.3447653429604,1176.9185740072203
2019-12-30,Self-Visit-Ratio,0.07030982674485242,0.08976967245051898,0.08740056588867459,0.09238260905309353,0.08463358728600501,0.08127638912764756,0.08822791851495927
2020-01-06,Betweenness,0.00011342296489797315,0.00010387274917106855,9.553266557420146e-05,0.00011380681917677845,0.00020391810417102118,0.00016137366778072544,0.0002549943051057301
2020-01-06,In-Degree,619.3852065321806,483.00725689404936,445.754118287373,530.6214804063861,805.4178674351585,706.5438040345821,913.8305295389049
2020-01-06,Out-Degree,619.3852065321806,571.5754716981132,556.9491654571843,587.1999455732947,495.992795389049,476.3042146974063,515.8921109510086
2020-01-06,Total-Degree,1238.7704130643613,1054.5827285921625,1011.3644775036284,1100.5709905660378,1301.4106628242075,1203.7987572046109,1415.2715958213255
2020-01-06,Self-Visit-Ratio,0.06872269625538298,0.08729490332397785,0.08458000324953809,0.08978895098587716,0.07998618939489019,0.07691957945167681,0.08311325408113998
2020-01-13,Betweenness,0.00011169929996388337,0.00010195080792777665,9.41381387794978e-05,0.00011038320543057899,0.0001934481661414435,0.00015722531508172963,0.0002364999951772179
2020-01-13,In-Degree,571.5321685052195,441.3747276688453,404.7230573710966,484.4511982570806,721.0028839221341,625.7430425378515,818.2051550108147
2020-01-13,Out-Degree,571.5321685052195,518.5446623093682,504.64046840958605,533.2922476397966,448.5234318673396,429.5948089401586,467.12420692141313
2020-01-13,Total-Degree,1143.064337010439,959.9193899782135,920.1911946259985,1005.7934458968773,1169.5263157894738,1069.5916186012976,1273.0946467195383
2020-01-13,Self-Visit-Ratio,0.07213092771816218,0.09517506859813693,0.09225597725447686,0.09803645330736273,0.08105168848439764,0.07778077246112948,0.0843742246385088
2020-01-20,Betweenness,0.00011146842959928339,0.00010444804099809446,9.614196188589616e-05,0.00011396414325513388,0.0001854985015693021,0.00014978433040700162,0.00022293308332174336
2020-01-20,In-Degree,566.3417852906288,427.6535662299855,393.5431950509461,463.3778202328967,685.9935111751983,599.618276856525,777.620313626532
2020-01-20,Out-Degree,566.3417852906288,497.27947598253274,483.91491994177585,511.35149199417754,443.323720259553,425.19803532804616,461.5404470079308
2020-01-20,Total-Degree,1132.6835705812575,924.9330422125182,887.278748180495,967.3074417758369,1129.3172314347512,1037.173936553713,1231.2057678442682
2020-01-20,Self-Visit-Ratio,0.07328145179838531,0.09976542902947814,0.09671072584320457,0.10275345427000626,0.08215626706314663,0.07889786652817007,0.08557922144344615
2020-01-27,Betweenness,0.00011071765442259816,0.00010823269617369678,0.00010029555053754943,0.00011664365798639249,0.00018493585562816763,0.0001543356433389327,0.00021918305939568067
2020-01-27,In-Degree,567.494,447.40638606676345,410.4792452830188,485.1661647314949,709.2586455331412,624.0188580691643,799.8031880403457
2020-01-27,Out-Degree,567.494,531.0849056603773,516.4913461538462,546.2294267053701,442.86455331412105,424.6290345821326,461.2004682997118
2020-01-27,Total-Degree,1134.988,978.4912917271408,936.3858490566038,1022.1658744557329,1152.1231988472623,1063.2794848703172,1246.849189481268
2020-01-27,Self-Visit-Ratio,0.06480337700675382,0.08514922842131269,0.08253545463683108,0.08809125297598824,0.06772004484478107,0.06484404260659421,0.07050523925452622
2020-02-03,Betweenness,0.00010944618549856072,0.00010728151188793875,9.993578954603455e-05,0.00011603787029194624,0.00018116567182292214,0.00015227581311508208,0.00021778304458106357
2020-02-03,In-Degree,527.6174964754767,407.0507982583454,374.3995101596517,443.2135159651669,659.9509025270759,582.3183032490974,750.4458303249097
2020-02-03,Out-Degree,527.6174964754767,491.3802612481858,477.18985849056605,506.2419992743106,407.6592057761733,389.91386281588444,425.9886281588448
2020-02-03,Total-Degree,1055.2349929509535,898.4310595065313,861.8198294629898,939.1827104499274,1067.610108303249,991.4980144404332,1157.9654693140794
2020-02-03,Self-Visit-Ratio,0.033487522323957714,0.03104985482863026,0.029726482603003312,0.03245945570297094,0.02585451680793322,0.02422546512153236,0.027345620922246006
2020-02-10,Betweenness,0.00010840715186595736,0.00010687974058159968,9.932025226634582e-05,0.00011524794031210295,0.00017166478719454466,0.00014273016362268952,0.00020491239273447257
2020-02-10,In-Degree,503.1468578220175,375.0732946298984,344.3989296081277,411.4277576197387,616.7164502164502,544.5297799422799,700.2798701298701
2020-02-10,Out-Degree,503.1468578220175,452.1168359941945,438.5380442670537,465.61206458635706,386.4689754689755,369.24545454545455,403.6380411255411
2020-02-10,Total-Degree,1006.293715644035,827.190130624093,791.5410558780842,865.2800979680696,1003.1854256854257,928.2929112554112,1095.1222582972584
2020-02-10,Self-Visit-Ratio,0.030669313482719084,0.026541235108806068,0.024812521474519324,0.028887517670068908,0.021962581196736136,0.020387467760998288,0.02371410524698025
2020-02-17,Betweenness,0.00010774315887140315,9.902618844423771e-05,9.107571145759565e-05,0.00010681673234338445,0.00016936925870733406,0.00013870470767120846,0.00020067113138264107
