cbg,rank
360610031001,1.0
360850170083,0.9998372925479987
360850170072,0.9996745850959974
360850226003,0.9995118776439961
360850273012,0.9993491701919948
360850198002,0.9991051090139929
360850070001,0.9991051090139929
360850112011,0.9988610478359908
360850208014,0.9986983403839896
360850146071,0.9985356329319883
360850074002,0.998372925479987
360850170103,0.9982102180279857
360850112012,0.9980475105759844
360850303011,0.9978848031239831
360850170081,0.9977220956719818
360850291022,0.9975593882199805
360850177003,0.9973966807679792
360850170052,0.9972339733159779
360850170111,0.9970712658639765
360470696023,0.9969085584119752
360810427002,0.9967458509599739
360850146051,0.996501789781972
360850226002,0.996501789781972
360470610022,0.9962577286039701
360850132042,0.9960950211519688
360850244013,0.9959323136999675
360850128041,0.9957696062479662
360850170102,0.9956068987959649
360850146064,0.9954441913439636
360850189012,0.9952814838919622
360850146062,0.9951187764399609
360850128051,0.9949560689879596
360850070003,0.9947933615359583
360850277042,0.994630654083957
360850128064,0.9944679466319557
360850277021,0.9943052391799544
360850040002,0.9941425317279532
360850156031,0.9939798242759519
360850064003,0.9938171168239506
360850112023,0.9936544093719493
360850277051,0.993491701919948
360850208011,0.9933289944679466
360850170092,0.9931662870159453
360850208033,0.993003579563944
360850020021,0.9927595183859421
360850208031,0.9927595183859421
360850170051,0.9925154572079401
360850059001,0.9923527497559388
360850181002,0.9921086885779369
360850132032,0.9921086885779369
360850170123,0.9918646273999349
360850208013,0.9917019199479337
360850112022,0.9915392124959324
360850134003,0.991376505043931
360470354001,0.9912137975919297
360850251001,0.9910510901399284
360850244021,0.9908883826879271
360850244022,0.9907256752359258
360850132033,0.9905629677839245
360850189011,0.9904002603319232
360850291042,0.9902375528799219
360470554001,0.9900748454279206
360850170122,0.9899121379759193
360850146081,0.989749430523918
360470608003,0.9895867230719166
360470546002,0.9894240156199154
360850146043,0.9892613081679141
360850248003,0.9890986007159128
360850244012,0.9889358932639115
360470490002,0.9887731858119102
360850156032,0.9886104783599089
360850170071,0.9884477709079076
360470308001,0.9882850634559063
360810475002,0.988122356003905
360850008002,0.9878782948259031
360850226004,0.9878782948259031
360050031001,0.987634233647901
360470584002,0.9874715261958997
360470356022,0.9873088187438984
360810455002,0.9871461112918972
360050462013,0.9869834038398959
360850208042,0.9868206963878946
360850251003,0.9865766352098926
360850170112,0.9865766352098926
360850146042,0.9863325740318907
360850170121,0.9861698665798894
360050409002,0.986007159127888
360470426001,0.9858444516758867
360850208041,0.9856817442238854
360850146052,0.9855190367718841
360850156033,0.9853563293198828
360470374011,0.9851936218678815
360850008003,0.9850309144158802
360850303022,0.984868206963879
360850050001,0.9847054995118777
360850138002,0.9844614383338757
360470356023,0.9844614383338757
360810455003,0.9842173771558738
360810443023,0.9839733159778717
360850112021,0.9839733159778717
360850291021,0.9837292547998698
360050255002,0.9835665473478685
360050145004,0.9834038398958672
360470626002,0.9832411324438659
360050131003,0.982997071265864
360850207001,0.982997071265864
360470600003,0.982753010087862
